א	איני יכול לצמצם עצמי בעניין אחד, וצריך אני לינוק מהאות המיוחדת לי בתורה, ולאחד את כל שטפי האור.
כ	בריאות הנפש משפיעה תענוג קדושה על הגוף ועל השכל, ואחדות כוחות האדם מחטבת את העולם כולו, ומכשירתו לחיי כל עולמים.
כא	ככל שהדעות יותר מתחלפות, יוצא מחיבורן אור יותר מאיר, מתקיים ומלא חיים.
כב	הדרך הממוצעת היא טובה לכלל, אך הנוהגים בדרך החסידות, בפרישותם הקיצונית, כוללים ומאירים דרך לעולם כולו.
כג	ההתרחקות מהרזים מטשטשת את הכרת קדושת ארץ ישראל, ועושה מצפיית הישועה ענף אפיזודי, ויש להילחם בשיטה זו.
כד	צריך עצה, איך להמשיך את קורת הרוח של עסק הנסתר על התורה הנגלית, המצוות והתפילה.
כה	לפעמים צריך להתרחק מרעיונות קדושה ותשובה, אם הם גורמים לעצבות, עד שתתכונן מחשבתו ויקבלם בדרך השמחה.
כו	אף שהמסוגלים לחסידות צריכים להיבדל מעסקי חול, עליהם להיות מעורבים בדעת עם הבריות, כדי להגביר בקרבם את דעת העולם.
כז	הצדיקים שכל עסקיהן ושיחותיהם בעולם הזה הם קודש, ניצולים מנהר דינור, שתפקידו למחוק מן הנפש את ציורי העולם הזה.
כח	ביקורת הרש"ר הירש על הרמב"ם גרמה לחסרונות האורתודוכסיה האשכנזית, ואין לקבלה אלא כצורך לשינוי מצד המקבלים הקטנים.
כט	כשם שהאנושות למדה לברור את מזונה הגשמי, ולהפוך מזון בלתי-מועיל למועיל, כך תלמד לברור את ספרותה ולתקן את רעיונותיה.
ל	קליפת נוגה השורה בנפש הבהמית, מחלישה את רצון האדם על-ידי צדיקות יתירה.
לא	בענייני המחשבה אין שום הגבלה, והגבלתם באה רק מצד השפעתם על המעשה, ובהשתחררם ממנו זוכים לנחלה בלי מצרים.
לב	דורות אחרונים בונים כלים קצובים לאורות העצומים של הראשונים, ולכן אין להיבהל אם מחשבותיו אינן מיושבות.
לג	השינה מרפה את ההכרה החיצונית, ומשחררת את הנפש לעליה אין-סופית או לירידה לעומק תחתית – לפי קביעותו בקדושה.
לד	לפעמים אין האדם יכול להגביה את עצמו משפלותו, אלא על-ידי כתיבת מערכי ליבו.
לה	איחור התשובה מקשה על עשייתה, ובעלי השגות עליונות צריכים לשוב אפילו על דיבורים נחוצים שיצאו מפיהם שלא לפי דרגתם.
לו	ברפיון הרצון אשם גם חסרון הכוח הגופני, והתשובה צריכה לתקן את הרצון משורשיו המוסריים והגופניים.
לז	עבודה המיוסדת על רגש ותפילה, עלולה לנפילות, ואילו בתורה יש ביטחון מהן, אמנם בזמן הזה מוכרח הוא כינון הרגש הבא ממנה.
לח	העיון בתכונות הנפש בלא השכלה שכלית עולמית, על-אף הרווח ממנו, מצמצם את ההשגה והמידות והופכן לצורת מספר קטן.
לט	הידיעות הבאות לנשמה מבחוץ, מאפשרות לה לחדור לעומק תהומותיה ומכך מתברכות גם הן, והכל תלוי באיחוד השכל עם הרצון.
מ	אהבת האמת בשכל, היושר בחיים, היופי ברגש, והטוב במעשה, של כל אחד ואחד, מצטרפות יחד, ודרכן באים לדעת ה' חופשית.
מא	שמחת מילוי כל משאלות הלב באה רק על-ידי רזי תורה, ואילו במדע יש צמצום, שתפקידו לשרש דמיונות כוזבים מהאדם.
מב	בזמן הזה משיגים שמחה רק מרזי תורה, והגדולים טועמים מעט עונג גם מהפילוסופיה, וגדולי עולם שואבים ממנה הארה רזית.
מג	דרשת הפסוק: "טעמה כי טוב סחרה לא יכבה בלילה נרה" – על ערך שותפות יששכר וזבולון.
מד	אף-על-פי שאין ללמוד סתרי תורה לפני חצות, אם נפשו עגומה וצריך לשמחה – מותר, ומצווה יש בכך.
מה	צריך לשים לב לרגשותיו ביחס לחלקו בתורה, ולמשיכתו לדברים שלמעלה מערכו, אף שאין להימשך אחריהם לגמרי.
מו	כל מה שלומדים ומתפללים ועוסקים בישוב העולם, מצטרף לתיקון הכללי של העולם.
מז	האמונה והדבקות משפיעות גבורה ויכולת בדמיון הקודש, בשכל, וביציאה אל הפועל במעשה.
מח	באמונה הגדולה, המחוברת לאהבה, יראה ודבקות, מאיר כל הטוב שבעולם.
מט	האמונה אינה מוגבלת בשכל אנושי, אלא היא אור החיים, המשפיע על כל הטוב והיופי שבעולם וצומח ממנו.
נ	באמונה הגדולה מבינים את הבלתי-גבוליות העליונה שלמעלה מכל נמנע חיובי, וכל הנמנעות קיימות רק האמונה המוגבלת.
נא	התיקון לאכילה גסה צריך להיות בשמחה ובלב נשבר, ובכך מעלים את ה"פשע" ל"שפע".
נב	אל יפול לב האדם אם חושבים את הגיונותיו לדמיונות, שכן צריך ללכת עם טבע הרוח ועם נטיית הנשמה.
נג	מרגיש אני את מחאת הנשמה על דיבורַי הבטלים, וצריך אני להשליט אותה על כל הדיבורים ותנועות.
נד	צריך להתאמץ ולהיזהר, שהקליטה החיצונית מכולם לא תהיה מן השפה ולחוץ, אלא חודרת ועצמית.
נה	בכל לימוד, מעשה ותנועה, באדם ובעולם, יש לכוון להתפשטות אור ישר על המדרגות התחתונות, ואור חוזר כלפי המדרגות העליונות.
נו	דיבורים היוצאים בלא ציור של יראת שמים, פוגמים את הנפש, ובייחוד אצל המוכשרים ליראה מקורית.
נז	אסור לומר דברים המרפים את מוסר שומעם, אף אם הם נכונים.
נח	התשובה המחשבתית על תנועות ודיבורים המקררים את הרגש, משפיעה תמימות אמיתית בלב.
נט	כשם שעבירה גוררת עבירה, כך בושה על חטא גוררת סליחה על כל החטאים.
ס	כשמרגיש שנהרס ברוחניותו, יידע שהגיע הזמן לבנות בניין חדש מפואר מהקודם.
סא	הפרדת הגבורות אלו מאלו בהשכלתה, מבטלת את גרירת העבירות זו את זו.
סב	גדולת האמונה אינה תלויה בריבוי מֻשָּׂאֶיהָ, אלא בעומק החוש האמוני וגודל התפשטותו, ורוחב הרגשתו בכבוד ה'.
סג	כשענפי האמונה מתפשטים משורשה, היא מחייה את כל העולם, ושואבים ממנה תורה ממקורה.
סד	חפץ קרבת ה' הנו חוש טבעי של הנשמה, ובישראל הוא תופס את כל פרטי החיים על-ידי ההעמקה בתורה, ויש להכיר בנחיצותו.
סה	הרצון לקפוץ למידת חסידות בבת-אחת מגביר את היצר הרע, לכן המגמה צריכה להיות לעלות לדרגה הגבוהה ביותר, אך בהדרגה.
סו	בטבע ניתן להבין רק תכלית פרטית, ואילו במצוות רק את טעמיהן הכלליים, ודבר זה מעיד על קשר פנימי בין ההלכות לשורש הטבע.
סז	העצבות והפחד הבאים מהחטא, מתהפכים לטובה בהרהור תשובה, ויש להתחזק במוסר המתאים למידתו, בלי לנטוש שום מידה כללית.
סח	ערבוב אהבת האישה עם אהבת הקרובים פוגע בהתפשטותן, ומרבה חושך וטומאה בנפשו ובעולם.
סט	חסרוני בלימוד הנגלה והנסתר בא ממשיכתי לצדדים שונים, ודיבורי המסודר בנסתר והתעוררות רוחי ממנו, מעידים על משיכתי אליו.
ע	יראת האומנות והחידוש באה ליצור בסיס ומסגרת לחידוש והיצירה, ולפי רוב הלימוד וההיגיון היא מצטמצמת.
עא	געגועים לסגולותיה של ארץ ישראל, ותפילה לזכּוֹת לתשובה ולשיבה לארץ.
עב	לבי הנשבר ונטייתי לעצבות באה מאי-מציאת נחת בעת העלם והסתר פנים.
עג	הצדק המתגשם בעולם, יונק מהצדק האידיאלי העליון הזורח בנשמה, דרך הצינור של צדיק יסוד עולם.
עד	בעלי תשובה מוכרחים ללכת בדכי חסידות, ורק הצדיקים באופיים יכולים אחר תשובתם ללכת בדרך של צדיקים.
עה	הרמב"ם לא שלל את מציאות התארים החיוביים, אלא את יכולת השגתם, וכך גם לגבי תכלית כללית לבריאה וטעמי פרטי המצוות.
עו	ידיעת ה' כוללת רק את המציאות, אלא שכל העבר והעתיד קיימים במציאות לגביה, והידיעה האנושית אינה אלא התענפות ממנה.
עז	התלמוד הירושלמי מקצר בעיון במצוות כדי לפנות מקום למטרה העצמית שבעשייתן, ובבבל התרחבה המטרה הצדדית הבאה מהעיון בהן.
עח	בהירות הדיבור של האדם נובעת ומשקפת את מעמדו הרוחני.
עט	כשמדבר דיבורים קדושים ומרגיש צער בקרבו, יידע שמקור הצער מהתמעטות הנפש הבהמית.
פ	החכמות היותר עליונות מונחות בעומק הטבע, הרצון והדמיון, וכשתגיע ההכרה לאותו העומק, תוכל להעלותם ולהתעלות על-ידם.
פא	רזים צריכים להיות מוסברים דווקא על-ידי רזים, ולא על-ידי תרגום.
פב	קדושת המחשבה והמעשה מקדשת את הטבע והרצון, ובייחוד קדושת הזיווג, המשפיעה על הכל חיים ואומץ.
פג	השירה נולדת מאותיות הפורחות במחשבה, נקלטות בשכל, מתחטבות בדמיון, ומתעוררות ברגש.
פד	יראת השמים התמימה עלולה ללקות ברפיון, ולכן זקוקה היא לניגוד של הספרות החופשית, שבגסותה היא מאמצת את הרצון.
פה	רוח הקודש המסייעת לתורה ולמצוות שורה בגלוי בארץ ישראל, ואפילו הציפייה אליהם משרה את הרגשתה.
פו	הנשמות הנפולות שיש להן יחס לצדיק, מתעודדות מדיבורו בטובתן ומחפצו בתיקונן, והן עתידות לשוב בתשובה גדולה.
פז	הרדמת השכל על-ידי האמונה והיראה החיצוניות, היא שקר וטומאה ומביאה חושך לעולם, אמנם גורמת היא לענוות השכל האנושי.
פח	יראה יתירה מביאה את האדם לשנאת התורה, ותיקונה בראיית הטוב שבו, ואת האור הגנוז בתוכחות המוסר, ואת קלות התשובה.
פט	המוסר של הכפירה אינו כלום, והמוסר הקיים בכופרים נובע מהכרת אלוהים הגנוזה בהם.
צ	חוץ מהבושה של היראה, חודרת בצדיקים בושה פנימית מחשבתית על ריחוקם מה', והם מקבלים אותה באהבה ומעלים אותה.
צא	עבודת הקרבנות מבססת את חיי המחשבה בעולם, וקלקול צינורות המחשבה על-ידי פגיעה בכהונה, מזיקה ומרחיקה מחיי הקודש.
צב	כדי להילחם בחולשת הרצון הנגרמת מהיראה היתירה, צריך לקבץ עצה, תפילה וגבורה.
צג	יראת היצירה הבאה מהפחד לסור מהאמת העליונה, אוגרת כוחות צמיחה, שיפרצו לכשתסור.
צד	התפילה היא השדה בו זורעים את הרצונות של הברואים, האדם וישראל, על-ידי העלאתם למקורם, וכפי טהרתה כך היא ברכתה.
צה	המרגוע מהלימוד אינו הכרח חיצוני, כי אם צורך יסודי לאפשר לשכל להתאמץ במקורו ולהאיר ממנו – מה שמנוע בעת הלימוד.
צו	המאכל של ארץ ישראל מקודש בפנימיותו, והציפייה לארץ ישראל על-ידי הזכרת ירושלים בסעודה, מעלה את אכילת חוץ-לארץ.
צז	מוטלים אנו בין זרמי האור שממעל להכרה ושתחתיה, וצריכים אנו להכשיר את עצמנו לקבל את הטוב משניהם ולחברם.
צח	צעקה גדולה צועקת הנשמה על כך שאין מניחים למחשבות להתפשט, וצרה זו באה מפני היראה הגסה והחומריות.
צט	טענת המדע החדש ללגיטימיות משכב הזכור, בגלל היצר לכך, מוטעית, אמנם יש מקומות בהם דיברה התורה כנגד יצר הרע.
ק	הצדיק הטהור והקדוש בא מן התורה אל מקור התורה.
קא	עזבנו את הפוליטיקה העולמית באונס חיצוני וברצון פנימי, עד שיתבסם העולם, וממלכתנו תוכל להיבנות בלא שפיכות דמים.
קב	הברקות האושר מגדולת התורה מעמיקות את הכרת האושר ועומק החיים שזוכים אליהם שוקדיה, הנכפלים בלימוד לשמה.
קג	ההתבוננות בגבורת החיים של אבותינו ובמלחמותיהם, מאמצת את כוחנו ומחייה את נשמותיהם בקרבנו.
קד	בתחילת ההכרה הידיעות סותרות זו את זו, אך ככל שהיא מתפתחת, ניכר איך בתמציתן הן משלימות זו את זו, עד לאיחודן האורגני.
קה	צריך להמשיך את העונג של הדבקות השכלית על כל לימוד, מעשה, דיבור ותפילה.
קו	אני מוכרח, מדחיקת נשמתי, לדבר על הכל, גם על מה שלמעלה מערכי.
קז	כל ההשכלות האלוהיות הנן הרחבה של חוש האמונה הפנימי והטבעי, ולכן הצלחתן תלויה בקישורן אליו.
קח	הרעיונות הסותרים, מפני סיגי הדמיון שבהם, מחלישים את אנשי הרוח מלהנהיג, ולפי קדושת השכל מתגדל שלטון הקודש.
קט	כשהדמיון מתפשט בגלל עצלות השכל, הוא יוצר צורות מעוותות, ובבהירות השכל מתיישרות השערות הדמיון במקום שאין השכל מגיע.
קי	יש רוח הקודש של מעשה, ויש של דמיון, ויש של שכל, ורוח הקודש העליונה כוללת את כולן.
קיא	הקרובים לחוג הנשמתי מרגישים בחסרונותיהם, והקרובים לחוג המעשי שמחים בטבעם, ויש שנועדו לתקן את שניהם כאחד.
קיב	מקור המושג "שכל נבדל" – בהיותו נבדל מהאלוהות, ורק אחר-כך התחילו לבטא בכך את הבדלתו מהחומר.
קיג	חופש הרצון מאפשר לאדם לעמוד במהותו גם כאשר פעולותיו משתנות, בניגוד למלאכים, שמהותם משתנה לפי שליחותם.
קיד	כשם שהגוף והחומר סותרים בתחילה את הנשמה והקודש, ובסוף הם משלימים אותם, כך הם יחסי הנגלה והנסתר.
קטו	הצמחים השכליים שאינם נובעים מעצמות התורה, דומים לערבה, הנאגדת עם שאר המינים אך טפלה אליהם.
קטז	בתפילין של יד מאוחדות הפרשיות, מפני שהן כנגד הרגש העלול לפירוד, ובשל ראש, שכנגד הדעת המאוחדת, הן ניתנות לחלוקה.
קיז	כשם שרפואת הגוף מארס גשמי היא על-ידי חומר סותר, כך רפואה מארס רוחני, מעורר או מדכא, נעשית על-ידי ניגודו.
קיח	לפעמים המון מחשבות אינן יכולות לתקן קלקול מעשי אחד, ולפעמים מחשבה אחת מתקנת המון קלקולים מעשיים.
קיט	והדבקות הדמיונית היא כלי לדבקות השכלית, והתנגדות הרמב"ם אליה היא רק כשאין משתוקקים לבוא על-ידה לדבקות שכלית.
קכ	אליהו יושב בכל מוצאי-שבת וכותב את זכויותיהם של ישראל, וראוי לכל משתוקק לרזי תורה לעשות כמעשהו.
קכא	מי ישער את ערכו של עם קדוש, ובייחוד הצדיקים שבו, במוצאי-שבת, לאחר שהתנשאה נשמתו בקדושת השבת.
קכב	גם בזמן שהרגשת העונג ממלאת את הרגשתו, יקבל בשכל ובחשבון עול מלכות שמים מתוך הרגשת העונג.
קכג	חטא העגל גרם לביטול יראת העמים מישראל ולמלחמותיהם בהם, וכאשר הוא יימחה, יתוקן העולם בדרכי שלום.
קכד	נגיעת שרו של עשו בירך יעקב, גרמה לתוספת חומרות טובות, ואחיזת יעקב בעקב עשו, אפשרה את תיקונו בעתיד.
קכה	דקדוקי המצוות יכולים להילקח מיראת עונש נמוכה, או מבהירות הציור של קדושת המצוות.
קכו	הדקדוק המעשי שבא מיראת העונש, סופו להתעלות ולהתהפך לגבורת קודש ואהבה עליונה.
קכז	כשם שהחושים, ובפרט הדיבור, יוצאים על-ידי החללים שבגוף, כך גילוי כוח החיים של ישראל נעשה על-ידי הרשעים.
קכח	עזוז הדמיון הוא מתת אלוהים, ובהיותו מחובר לגדולת השכל, עומק המוסר, וטבעיות הרגש, הוא מביא לרוח הקודש.
קכט	מיראה יתירה נחלש הרצון, והמידות הרעות משתקעות בעומק הנפש, ובאור הדעת מעלים את המידות ואומץ הלב מתפתח.
קל	את כל המידות אפשר להעלות חוץ מהעצבות, שכן אין לה שורש בקדושה, ויש להעלותה בהעלאת סיבותיה – הכעס והגאווה.
קלא	העלאת המידות בנפש ובעולם היא חכמה מיוחדת, הדורשת את הרחבת המדע החדש והתאמתו אל הקודש.
קלב	הסידור המדעי מוכרח להתפשט על לימוד הנגלה והנסתר, אף שפגיעתו בהתלהבות החיצונית עלולה להזיק לתמימותם של רבים.
קלג	בהשערת הדמיון מתגלים דברים הנשגבים מהשכל, אך יש להבחין בין הכרה להשערה, וכך יתבררו ההשערות, והשערות חדשות תופענה.
קלד	קליטת שפע המחשבות ועיבודן, מקרבות את חכמי הלב למקורן, ומכשירות מקום לקליטה נוספת, ובדרגה עליונה הן אינן ניתקות ממקורן  כלל.
קלה	כל דיבור שיוצא בלא דבקות, פוגם בשכל ובמוסר, וכששבים עליו מעלים לקדושה אותו, ועמו מחשבות וכוחות נודדים.
קלו	אור הקודש מתפשט תחילה על הדיבור, השמיעה והראיה, ואחר-כך על תנועות האדם ורכושו (כמשענת אלישע ואדרת אליהו).
קלז	כשהעניינים השמימיים מתגלים בבהירות, העניינים החברותיים והארציים מתיישבים בלב בצורה מעודנת.
קלח	דיבור קדוש פותח צינור קודש בנשמה, ודיבור בטל פותח בה צינור מזוהם, אך כשעומקו ברצון קדוש, הוא פותח צינורות נשגבים.
קלט	מי שמזדעזע ונופל גם מפגימה קטנה, הרי זו התנוצצות של גילוי אליהו, שהיה קפדן, וישוב ויזכה לשלום.
קמ	אין צורך להזניח את ההסתכלות הפנימית, ואף שלפעמים יש להתרחב ולקלוט מבחוץ, הכל חוזר ומתמזג ברוח.
קמא	תרבות הגויים יונקת את הטוב שבה מישראל, ולכן בכוחם לשאוב את הטוב שבה חזרה, ולהתאימו עם חזיונות ישראל.
קמב	בוער הוא החפץ בלב טהורי ישראל להתאחד עם נשמת האומה.
קמג	כל מה שאנו מדברים מתשוקה אלוהית, בא לנו מלבושיה של כנסת ישראל, שהיא בית ה', ואשתו כגופו.
קמד	כשם שהתרבות משתדלת להיקבע באנושות כטבע, כך המצוות מפתחות את הטבע האנושי, ומטביעות בו מידה אלוהית.
קמה	הצמצום במושג התורה והבנתו השטחית, מונע את ההתקשרות למחשבות עליונות, ואת הדרכת העולם במושגי הקודש.
קמו	בהרגשת הבשר יש ניצוצות דמיון, ובתוכם ניצוצות שכל, ובתוכם רוח הקודש… נבואה… זיהרא דאדם הראשון… ואור תחיית המתים.
קמז	כשדברים בטלים מתקשרים לקדושה זוהי תשובה כללית והעלאת אורות פרטית כאחד, אמנם יש דברים שמלכתחילה נועדו לעליה.
קמח	כל תרבויות העמים שורשן בישראל ואליו הן עתידות לשוב, וסתירותיהן המדומות הן עצמן עבודה זרה.
קמט	הרע המוחלט שמח בכליונו, ורק הטוב הקשור עמו מצטער, ושאיפתנו להפריד ביניהם, ולשמח את הרע בכילויו ואת הטוב בקיומו.
קנ	כל דיבור קדוש פותח אלפי צינורות קודש, כל חוש מעורר את כל החושים, וכל רעיון מעורר את כל הרעיונות שבהוויה המאוגדת.
קנא	המידות הרעות שנכבשו על-ידי המוסר של תרבות החול, מתפרצות במלחמות רבות הדמים.
קנב	המלחמה מעמיקה ומבשילה את צורת העמים, ואת צורת ישראל שהם האספקלריה של העמים.
קנג	אור התורה ועצם חייהם של הצדיקים ממזגים את העולם ותנועותיו בקדושה.
קנד	כל הרחבת השכל הנה בכלל עבודת התורה, וכל הרחבת הרגש בכלל התפילה, ולכן יש להיזהר מיראה דמיונית המקטינה את השכל.
קנה	דיבורים המעורבים בדמיונות וחולשה, ויש בהם גם תוכן של דעה, יושר, יראה ואהבה, צריך לבררם.
קנו	כשהקדושה מתגברת בלב, משפיעים ממנה על כל אורחות החיים ועל כל נשמה מישראל, והמוֹתר משיבים לכנסת ישראל המשפיעה על כל הבריות.
קנז	האמונה המתפשטת בהכרה, מחייה את הביטחון המתלבש במעשים, והם משפיעים עושר על הדעת, הלימוד והמעשה.
קנח	שורש הגאווה בקדושה הוא גאוותנו בה'.
קנט	קדושת הרגש היא חיי שעה, ובהתגשמותה במצווה היא הופכת לקדושת תורה.
קס	אם נפשו מרירה על חטאיו עד שאינו יכול לעסוק בתורה ובישוב העולם, ישמח את ליבו בכך שמעצם הצער נעשה בעל תשובה גמור.
קסא	לפעמים זוהמת הרוח נספגת בגוף, והרוח שנטהרה חוזרת ומזקקת את הגוף, וכן הוא בגוף והנשמה הכלליים, ובפרט בעקבא דמשיחא.
קסב	אסון הוא אם אין מניחים את הטבע הנפשי להתפשט, אך צריך הדרכה קודמת שתערוב להתפשטותו רק אל הטוב.
קסג	אור חסד אברהם מופיע בגבורת יצחק האידיאלית, המתאחדת עם הגבורה המעשית של רבקה, ומכוננים הם ביחד את בית ישראל.
קסד	אם אדם מרגיש את ריקניותו, יידע כי תשועת ה' קרובה, וישתמש בשפלותו לבסס את ענוותנותו.
קסה	צבעה העצמי של כנסת ישראל הולך ומתגלה, והכנסתה רכוש רב מהפיזור בגויים רק מוסיפה על רכושה העצמי.
קסו	הנטיות השכליות והרגשיות אחוזות אלו באלו וסותרות אלו את אלו, ולפי עליית המוסר והשכל ימצא כל כוח את מקומו ותפקידו.
קסז	שאיפתנו להעלות את ניצוצות הקדושה הפזורים בעולם, ביניקה מאוצר החיים שלמעלה מהעולם, ובצירוף נקודות החיים שבהוויה.
קסח	כשהנפש מתגלה במערומי כיעורה, ינחם עצמו בכך שכנגדה גדול הוא הצד היפה שבה.
קסט	ישנם צדיקים שאפילו כשאהבתם אינה מאוזנת עם יראתם, הם מרגישים בעומק צרת החטא ושבים על כך.
קע	שאיפתנו ללקט את ניצוצות הקדושה הפזורים בכל תנועה קטנה בעולם, ולהחיותם בשאיבה מאוצר החיים שלמעלה מההוויה.
קעא	על-אף עומק הנפילה של חוץ-לארץ, צריך לחפש בה את הארת הדעת ולהשיבה לארץ ישראל, ועל-ידה מאירה התורה ביתר עוז.
קעב	כשמרגיש את התגברות נפשו הרעה, יידע שנפשו האלוהית מתגברת, ולכן הנפש הרעה מתאמצת כנגדה, וישעבד את הרעה לטובה.
קעג	בארץ ישראל אפשר להמשיך שמחה ממקורהּ, ובחוץ-לארץ רק ממקור העונג, וממנו ממשיכים מאוויר ארץ ישראל על המצפים לה.
קעד	צריך לכוון שהנפש תאיר את הגוף בכל חלקיה, והרוח את הנפש, והנשמה את הרוח, וחיי העולמות את חיי האדם הכלולים מהן.
קעה	כשדבקים בתורה – דבקים בעץ החיים ממש, ועל-ידי קליטת התורה יתברר לנפש דבר זה, והיא תחמוד בתורה בטבעיות.
קעו	כשאדם לומד מקצוע בתורה שאינו מתאים לשורשו, הוא מרגיש עצבות, ובעקבי משיח מציאת השורש קשה, מפני שאז נדרשת כלליות.
קעז	בחוץ-לארץ מחשבות האדם מעורבות בסיגים, ואי-אפשר להיות נאמן אליהן כמו בארץ ישראל, אלא על-ידי התשוקה אליה.
קעח	המידות הטובות והרעות עלולות להידמות אלו לאלו וצריך להבחין ביניהן, ובייחוד בין העצבות ובין השִפלות הטובה.
קעט	אימוץ חיי העולם הבא מאמץ את חיי העולם הזה, ובישראל הוא נזקק לבניין האומה, והצדוקים שכפרו בכך, לאומיותם דעכה.
קפ	שאלה היא, האם לימודי יראת ה' הנם חטיבה לימודית עצמאית, או שאורם מתפשט בכל התורה – כיחס לימודי השפה והספרות.
קפא	הכרת האלוהות של ישראל (יחודא עילאה) גדולה מההכרה האנושית הבאה מצד הגוף (יחודא תתאה), ובארץ ישראל היא העיקר.
קפב	דברים בטלים אינם לפי תכונתי, וגם הנזקקים לפיכוח הדעת יכולים להיות בעלי חכמה פנימית.
קפג	שיחה ריקנית עלולה לפגוע בהרגשה הפנימית, והיא שבה על-ידי תשובה פנימית.
קפד	העולמות הרחוקים זה מזה מאיימים זה על זה, והייסורים הנגרמים מכך מעמיקים את הבינה, ומכשירים את איחודם.
קפה	ישנן מחשבות הנראות כמתפתחות ועולות מלמטה למעלה, אך בפנימיותן יונקות הן מציורי המחשבה המושלמים.
קפו	הדמיון הוא אספקלריה של המציאות, ובצירופו לדייקנות השכל הוא מאיר את העולם, ומהווה מקור לשירתו.
קפז	תרבות הגאווה והאכזריות הן תוצאות של האלילות, הנותנת מקום לגאוות הברואים.
קפח	הגותו השכלית של הרמב"ם עדיפה על הגותו השירתית של הכוזרי בשלילתה את קדמות החומר, ובהתאמתה לבינת ישראל.
קפט	מיזוג חיי ההתגלות וההכרה מרווים את תלמי כנסת ישראל מטל החיים של תפארת ישראל.
קצ	ריבוי הופעות וסגנונות עלול לגרום לסבל התנודדות, הבא מתוך חוסר קביעות והתעמקות, אך התיקון לכך צריך לבוא בהדרגה.
קצא	חופש הדעת הנובע מהתנודדות מחשבתית מביא להתעמקות נסתרת ומפתח בדיעבד את התפשטות ענפי המחשבה.
קצב	התפילה היא הפניית הרצון הכמוס בנשמה למקורו האלוהי, וביטויו מוציאו אל הפועל בדרכים שונות, ולפיכך פעולתה מובטחת.
קצג	התעלות ישראל באה על-גבי צורתם שהושלמה במתן תורה, ואילו התעלות הגויים תבוא אחרי מחיית צורתם הקדומה.
קצד	כשמחשבות הקודש של ישראל שנזרעו בעמים ואיבדו את תכונתן, נדחקות למחנה ישראל, הן מתפרצות בכעס וגידוף, אך סופן להיטהר.
קצה	צריך להכיר את עצמו בשלמות, כדי שבעת רעננות הנפש יזכור שעוד יבוא השיממון, ובשיממונהּ יזכור את שעוד תבוא רעננותהּ.
קצו	הגידול הנשמתי שבישראל מתאים הוא לכל התפתחות התורה, אך על-ידי קליטת מחשבות זרות נעשה הפלפול ומסקנותיו זר לרוח.
