א	חכמת הקודש מהפכת את הרצון ואת תכונת הנפש של לומדיה, ואינה רק מציירת את הקיים במציאות.
ל	חסד עשה ה' עם עולמו הגשמי והרוחני, שאחדותו אינה מבטלת את ייחוד כל פרטיו, ולכן אין להיבהל מהפער שבין החבוי והגלוי.
לג	ישנן מחשבות הנראות כמתפתחות ועולות מלמטה למעלה, אך בפנימיותן יונקות הן מציורי המחשבה המושלמים.
לד	הנסתר הורס את השכל הטבעי באופן זמני, ושנאת הנסתר הנגרמת מכך, מקיימת את השכל ומאפשרת את איחודו עם הנסתר.
לו	אצל בעלי הנגלה – הנסתר פשוט והנגלה הוא חידוש, ואצל בעלי הנסתר – הנגלה פשוט והנסתר מחודש, ואיחודם מביא ברכה.
לח	החלק הגלוי שבתורה ושבעולם מכסה את הנסתר, ואף שלפעמים הנסתר בוקע בלי הדרגה, והסדר הרגיל הוא – מן החוץ פנימה.
מא	המיוחדים לסקירה פנימית סובלים באהבה מעיסוק בפרטים.
מב	בכל לימוד ותנועה ישנם גילויים כלליים, וגילויים פרטיים המופיעים מכל חלק, וכשהם משתלבים, מתאחדים כל הניצוצות לאבוקה.
מג	המעיינים משתוקקים לשורש המחשבות, אך צורך העולם מכריחם לפתח את הפרטים, והאמונה באחדותם מגבירה את נועם התורה.
מד	המחשבות הפרטיות מרחיבות את הדעת לפי עומק הלשד שבהן, הנובע מהרצון הכללי השופע בלימוד התורה לשמה.
מה	בעל הנשמה הרחבה מתנחם מיסוריו הבאים מהתפרטות המחשבה שבבינה, בהכרתו שהדעת המופשטת היא המניחה את אוצרה שם.
מו	יש אנשים, עמים והנהגות, שרכושם הרוחני מרוכז ועליהם להתרכז בו, ויש שרכושם מפוזר ועליהם ללקטו, ויש הכוללים בזמנים שונים את שתי המידות.
מז	כל הסתירות בין האמונה והמדע, הפשט והדרש, הנן סובייקטיביות, ותכונת ישראל היא לחדור לאובייקטיביות המאחדת אותם.
מט	הביקורת המנתקת את מקצועה מהארג הרוחני, מצמצמת את החכמה וגורמת קוצר רוח.
נ	אנשי האשכולות הכלליים, יונקים מאנשי המקצועות, ומשפיעים עליהם בחזרה שפע גדול יותר ממה שקבלו.
נא	כשמתייחסים לתורה כאל שורש החכמות, יונקים ממנה את כולן, אך לפני שמגיעים לדרגה זו צריך להיעזר בהן.
נב	לפעמים חכמה אחת מאירה פריטם של חכמה נמוכה ממנה, בדרכים שונות לגמרי מדרכי ההארה של החכמה הנמוכה לענפיה.
נב2	אחיזת הנשמה בשורשה מחדשת את כוחה להפריח ענפים חדשים, וזהו היסוד לכך שרזי תורה מחזקים את לימוד הנגלה.
נג	עושר הפרטים מכשיר יצירת ערכים כללים, המעשירים את הפרטים חזרה.
נד	הגברת אור התורה המקורי בפרטיה, מבליטה אותם, אמנם לפעמים הבלטה זו נעשית על-ידי בליעה זמנית.
נה	לפעמים נוח להתחיל מהכרה כללית, המובנת לחושי הנשמה הפנימיים, מלהתחיל בהכרות פרטיות ושכליות.
נו	הידיעות הבאות לנשמה מבחוץ, מאפשרות לה לחדור לעומק תהומותיה ומכך מתברכות גם הן, והכל תלוי באיחוד השכל עם הרצון.
נז	החכמה המקורית, והבינה המרחיבה את אורות החכמה, למרות הפער שביניהן, זקוקות הן זו לזו ומהן קיום העולם.
נח	השכל מכיר תכנים מן הפנים החוצה, ומן החוץ פנימה, ומחיבורם של שני הכיוונים.
נח2	ההכרה הפנימית שבתוכיות האדם, והחיצונית השכלית, משכללות יחד את בינת האדם ורצונו.
נט	ההתגלות הרוחנית בדרגתה העליונה, אינה מטשטשת ומחריבה את העולם החומרי כדי להשתכלל, אלא מאירה על-גביו.
סג	מדע הקודש אינו תלוי בשום מדע אחר, וחיבורו עם החכמה הכללית אינו להשלמת חיסרון אלא לתוספת אורה.
סד	רזי התורה מאירים את המוסר ואת החיים, אך בהירותם תלויה בבריאות הנפש ובפשטות החיים.
סד2	כל לימוד צריך להיבנות על יסוד ההשכלה וההרגשה הטבעית, והן צריכות להישתל על יסוד קודש הקודשים הכולל קודש וחול.
סה	כשם שהגוף והחומר סותרים בתחילה את הנשמה והקודש, ובסוף הם משלימים אותם, כך הם יחסי הנגלה והנסתר.
סו	כשם שהשכל חל בשלמותו רק על-גבי גוף בריא, כך רוח הקודש חלה בשלמותה רק על-גבי שכל אנושי בהיר ומפותח.
סז	השפעות הקודש והחול על האדם, אינן באות לצמצם את עצמיותו, אלא להגבירה, וההבדלה ביניהם מבהיקה את זוהר התורה.
סח	העבודות השכליות הן: להלביש את רוח הקודש והתורה בשכל אנושי, ולהפשיט את השכל האנושי לאצילות עליונה.
סט	העיקר הוא ביאור התבונה האנושית על-פי שפעת הקודש (בצלאל), אך צריך לשלב עמה ביאור הקודש בתבונה אנושית (אהליאב).
ע	כשההשגה האיטית שמלמטה למעלה, והפתאומית שמלמעלה למטה, פועלים כאחד, רוח הקודש מתגברת ואומרת שירה.
עא	הכרות השכל והאמונה באות באור ישר מן השורש אל הענפים, ובאור חוזר מן הענפים אל השורש, והזרמים מצטרפים לאגודה.
עג	עסקי המחשבה מתחלקים לעשרה חלקים (המפורטים בפסקה), הבאים זה אחר זה ומוסיפים זה על זה.
עג2	כל דבר רוחני מתחלק לחמישה שלבים: שיטה, ריהטא, גירסא, לימוד, עיון.
עה	התכנים הרוחניים מתגלים תחילה בהפתעה, והתבונה מסדרת אותם, ולכן חכם עדיף מנביא.
עה2	בכל גילוי רוחני מוכרחים לתת רווח והפסקות, כדי לאפשר את עיכולו, וכדי שלא יטשטשו האורות את הגבולות.
עו	הרוחניות בהתעכלה, לובשת צורה חדשה, המתאחדת עם הנשמה בצורה שלמה יותר מאילו נשארה בצורתה המקורית.
עו2	הסכלות גדולה מן החכמה בעצמת חייה, ובמיעוטה היא מהווה בסיס אמיץ, שעליו תשרה החכמה העדינה.
עח	כל הנושאים שבהוויה ושברעיון, הם חומר לרוח האדם, ועל-ידי התעלות גדולה, הם בעצמם עולים במעלות הקודש.
עח2	רב המנונא הקדים מילי דשטותא ללימודו, כדי שיהא האור ניכר מתוך החושך.
עט	צריך להרחיב את המחשבה, לטוס מן הגודל אל הקוטן וחוזר חלילה, וככה עוסקים תמיד בתנועה מלאה חיים, וכבוד ה' מתעלה.
פג	"אם תרצה, בן אדם, הסתכל באור השכינה שבכל היקום…" ובאורות שבך, והעלה אותם לשרשם.
פד	על-אף חשיבותם של לבושי הציורים אסור לזוז מהבלתי נתפס.
פד2	דעת קדושים, זכי המחשבה והרעיון, היא היסוד להארה הרוחנית המופיעה בעולם.
פו	אף שסתרי תורה אינם מתגלים להמון, על-ידי לימוד היחידים מתפשטת סגולתם הרוחנית על הכל.
פז	ההתעסקות במחשבות עליונות, אף שאינו מבינם כראוי, מעדנת את הנשמה והעולם, וזהו סוד המשיכה הפנימית אליהן.
פח	מי שמרגיש שנפשו מתיישבת רק ברזי תורה, אל יימנע מלעשותם לעיקר, שכן אחיזתו בשורשו תביא ברכה גם לענפים השונים.
פט	אף-על-פי שרבים נכשלו מהיגיון בנסתרות, המוכן אליהן אל יימנע מהן, אלא יטהר לבבו ויבטח בה'.
צ	חכמת האמת באה מהטוהר השכלי המרומם מהדמיון, ולכן עלול הגוף להיחלש ממנה, וכשהדמיון מתעלה אל השכל, הגוף מתגבר.
צא	שמחת מילוי כל משאלות הלב באה רק על-ידי רזי תורה, ואילו במדע יש צמצום, שתפקידו לשרש דמיונות כוזבים מהאדם.
צא2	אהבת האמת בשכל, היושר בחיים, היופי ברגש, והטוב במעשה, של כל אחד ואחד, מצטרפות יחד, ודרכן באים לדעת ה' חופשית.
צב	בזמן הזה משיגים שמחה רק מרזי תורה, והגדולים טועמים מעט עונג גם מהפילוסופיה, וגדולי עולם שואבים ממנה הארה רזית.
צג	הרגל הקדושה מפתח באדם חוש להבדיל בין היגיון, שמחה ועונג, של קודש, לבין אלו של חול.
צד	בקבלה המעשית ישנה עצבות מצד נתינתה ממשות לרע, ואילו הקבלה העיונית מלאה שמחה מצד ראייתה את הרע כדמיון.
צה	מגמת רזי תורה היא פיתוח כוח הנשמה וההוויה לשאוב ממקורן, בלי צורך בהתלמדות אמצעית, על-ידי איחודם את השכל והרצון.
צה2	בלימוד מאחרים קולטים גם ניצוץ זר לנשמה, והנטייה להתרחק מהתורה באה לתקן דבר זה.
צו	נפילת העולם באה מתרבות של הכרה חיצונית, וגאולתו תהיה ברוממות ההכרות הפנימיות, שעל-ידי העיסוק ברזי תורה.
צז	מגמתנו היא לשחרר את האדם בגילוי כשרונותיו הפנימיים, על-ידי התאמת המטרות הנשגבות עם מטרות ביניים שהן כערכו.
צח	סדרי העולם החיצוניים מבססים את הפנימיות, שסופה לנצח.
צט	בעלי הנסתר – תורתם עצמית ואישית ואינה ברת-השגה, ומתוך התענגותם הם משפיעים ממנה לרשות הרבים.
ק	המחשבות יונקות ממקורן הנעלם, והדבקות במקור בזמן עניות הדעת (גרסה חסרת הבנה), מפרה את המחשבות בזמן הרחבת הדעת.
קא	כשמבינים רק את קישורי פרטיהם של רזי התורה ולא את תכנם, צריך לציירם כגילויים שהועברו במסורת, ובכך מתרחבת בינתם.
קא2	רזי התורה עוברים במסורת איש מפי איש, ואחר-כך מתיישבים בלב בהשערה פנימית.
קב	ההכרות הוודאיות גדולות מההשערות, והמסתכל הטהור שט בהשערותיו וחי מקישורו הוודאי.
קב2	העוסק בתורה לשמה, מעלה את חידושיו והשערותיו למרומי המסורת, ומרומם את העולם כולו.
קג	ההשערות ברזי תורה גדולות ערך הן, והן מתעלות לפי זיכוך המחשבה והדמיון.
קג2	ההכרה הרזית מיוסדת על אין-סופיותו של הבורא, וההכרה הגלויה – על כוח הצמצום, והשפעותיהן ההדדיות מעשירות את העולם.
קה	הרציונליזם מביט על המרחב, והרז על הפרטים, על-ידי התעלותו לגבהי-גבהים, ואף שהרז עיקר, הרציונליזם משמרו.
קו	חשיבה המיסטית עלולה לפגוע בבינה הטבעית, אך עקירתה עוקרת את ההיגיון מההסתכלות הכללית, ויש לאחוז בה במידה ראויה.
קז	חובה לישא וליתן בחכמת האמת, שכן בהתעלות הנשמה בה, מתעלה העולם כולו.
קז2*	אותיותיהם וציוריהם של רזי התורה, הנם ביטוי של מעיין אין-סופי, ומשום כך אינם מַלְאים את הנשמה כשאר החכמות.
קח	רזים צריכים להיות מוסברים דווקא על-ידי רזים, ולא על-ידי תרגום.
קט	הרמז דומה ליצירה, בכך שככל שנשמת היוצר עצומה יותר, היא מתבטאת בצורה יותר פלאית ורחוקה מהמציאות.
קט2	הרמז הוא כלי לקבל את אורות המחשבה הגבוהים, ומכל-מקום צריך להתבונן בתוכנו.
קי	אין להתיירא ממשלים גשמיים ברזי תורה, שכן אינם פוגמים באמונה הזכה, ובמסירות נפש בדבקות האלוהית שופעת ממנה אהבה.
קי2	אל אבהל מהמשלים המפחידים שבנסתר, שכן העולם חשוך יותר, ומכאובי הנסתר מעוררים בנו חיי איתנים.
קיא	שפת הרזים היא אמת מוחלטת, והשוואתה ללשון השקר של העולם המעשי, עלולה להחריב את העולם.
קיב	הנסתר צריך את הנגלה לשמרו מדמיונות שקר, והנגלה את הנסתר – לעדנו, ולשומרו שלא יתהפך לרע.
קיב2	גדולתה של חכמת הרזים היא יכולתה לרדת עד לתפיסת האדם הפשוט על-ידי קליעתה לצלם א-להים שבו, ולרוממו.
קטו	שלושה מינים בתלמוד: בנגלה – ההופעה בלועה בהשכלה, בנסתר – הם מתאחדים, ובייחודים – ההשכלה בלועה בהופעה.
קטו2*	יחס הנגלה, הנסתר והיחודים, שווה ליחס העזרה, ההיכל וקודש-הקודשים.
קטז	גם בעולם השכלי וגם אצל בני האדם המצבים מתחלפים: בזמן קבלת השפע שולטת הדממה, ובהשפעתו מתגברים המילול והעשיה.
קיז	אותיות המחשבה מצטרפות למילים ומשפטים, המתבטאים בדיבור באורח פלא.
קיז2	האותיות מרכזות בתוכן את כל ההרחבה של המחשבה העליונה, ומכאן כוח פעולת השמות הקדושים.
קיח	הייחודים הם הרכבות שהכוח הנשמתי פועל, כדי להתרומם אל הרעיון האלוהי בטהרתו, ואיחודן של המחשבות מונע שכחה.
קיט	שמות ה' הם יחוס ההוויה לאין-סוף המקיימים את ההוויה, וכשהיחס הוא קלוש, נולדים שמות הטומאה, שסופם לחזור לאורה.
קיט2	בעקבא דמשיחא צריכים להימצא צדיקים שיקבלו שפע בהקפה, כדי לגלות הופעות למעלה מערכם, שהן עצמן יכשירו את קבלתן.
קכ	כל המגרעות שבעולם באות, מפני שכל אחד דוחק את מחשבת חברו, וכל צד בנפש דוחק את חברו, והצדיק מייחד את הצדדים.
קכב	העיון במציאות התכנים האלוהיים ולא רק ברשמיהם, מסדר את הלכי המחשבות והחיים, ומשפיע עונג מעולמות עליונים.
קכג	המסתכלים ברזים נקראים בעלי העבודה, כיוון שעבודתם לשמה ונצחית, והם מתנשאים מהחול ומידמים למלאכים.
קכד	הכוונה והייחודים בתפילה ובמעשים הם הכל, וכל המעשים אינם אלא הופעות קטנות שלהם, הנולדות מהם.
קכה	כדי להגיע להגיונות נעלים צריך למחות את הרוחניות המוגבלת, ובשלב המעבר סובלים יסורים רבים.
קכז	יש נסתר עצמי ונצחי, המתחדש ממקורו ומשפיע ניבי קודש, ויש נסתר מקרי, הבא מדלדול הכח הרוחני של השפה.
קכח	ההזרחה השכלית נתפסת כמיסטית או כבהירה, לפי מדרגת הרצון המוסרי של האדם.
קכט	אל ידחה אדם את הרגשותיו הסמויות, אף שאינן ניכרות בשכל, אלא יניח להם להוציא פירות, וידע שסופן להאיר לכל.
קל	המחשבות המבוררות קטנות מהעמומות, וכשהן לעצמן הן מזיקות, אך הן נזקקות כדי שלא להיתפס בעמומיות עצמה.
קלג	חכמת הקודש זורחת רק בארץ ישראל, ובחוץ-לארץ ניתן לקלוט רק את הזרחותיה על הבינה, על-ידי הציפייה לארץ.
קלד	בארץ ישראל נובע המעיין הרוחני מאליו, ובחוץ-לארץ מעמל האדם, אמנם גם הוא עתיד לגלות את צדו האלוהי בשיבה לארץ.
קלה	ביטויי החופש של נשמת ישראל הנם רזי תורה, בכל צורה ספרותית שבה הם נאמרים.
קלו	אליהו יושב בכל מוצאי-שבת וכותב את זכויותיהם של ישראל, וראוי לכל משתוקק לרזי תורה לעשות כמעשהו.
קלז	על-ידי רוח הקודש ועיסוק ברזי תורה לשמם, משיגים בבת אחת הכרות עליונות ועולמות שלמים, כפי סידורם בנשמה.
קלח	ההכרות הפנימיות פורצות מעצמן כשמסירים את מונעיהן, והצדיקים מעלים בהן את העולם, ובייחוד את הדבקים בהם.
קמא	בדורנו העיסוק ברזי תורה הוא הכרחי, והירידה שגרמה לכך היא בעצמה עלייה.
קמא2	רזי התורה מאגדים ומאירים את כל המגמות הרוממות, אשר במחשבה הם מתגלים בצורה מפוזרת.
קמב	רזי תורה מרוממים את הרוח ושאיפותיו משפלות ערכם, ותחיית האומה ולימוד מדעיה הנם צעדים לאותו שיגוב.
קמג	רזי תורה מגלים, שהחול אינו חול מוחלט אלא ביחס לקודש שמעליו, וגם הקודש הוא חול לגבי הקודש העליון.
קמג2	ההכרה ברוחנית העולם כשלשלת רוחנית טבעית האחוזה בחיי החומר, הנה השקפה היותר אמיתית בערכי העולם.
קמה	הקודש צריך להיבנות על יסוד החול, והתפרצות החול למעלה ממידתו תביא להתאמצות הקודש כנגדו, ולביטולו המוחלט אל הקודש.
קמו	בדורנו מתקנים את הרוחניות במילוי הגשמיות, ובייחוד של תלמידי-חכמים, וכדי שהיא לא תזיק, צריך להעמיק ברזי תורה.
קמז	בהווה נראה העולם כסותר את תוכן רזי התורה, וצדיקים ממשיכים את אור העתיד להווה.
קמח	החוצפה של עקבתא דמשיחא הנה נגוהות מאופלים הנדחקים לצאת דרך המסך התחתי, מרוב כינוס האור בספירות עליונות.
קמט	הכוחות הגנוזים בישראל מתגלים תחילה בצורה טבעית קמוצה, המגבירה את החומריות, וממנה ייצא אור גדול.
קמט2	כמהה היא נפשנו ועשירה באור חיים, והיא עומדת להתפרץ ולצאת ולהאיר את כל המחשכים.
קנ	אורהּ הכללי של הנבואה דורש בריאות הגוף והנפש, בניגוד לאורו הפרטי של התלמוד, ולקראת הגאולה חוזרת הבריאות ונתבעת.
קנא	אורו של משיח מהפך את ההוויה לזוהר תורה, ומגלה את הקודש בחול, וצריך לקלוט את כל הזרחותיו.
קנב	הכפירה שבעקבתא דמשיחא דומה לריקבון הגרעין, המשחרר את כוח הצמיחה שבו, והמבטל את צורתו הישנה המעכבתו מלנבוט.
קנג	הארת החיים של התורה מתפשטת בכל פרטיה, אך חשכת הגלות גורמת לראותם כפרטים מפורדים, עד להתנוצצות הגאולה.
קנה	בעת שהעולם רועש, וישראל ותחייתם הלאומית מתגלים, הגיע הזמן להשתוקק לרוח הקודש על-ידי העמקה ברזי תורה.
קנז	רוח הנבואה וספיחיו מתעוררים לתחייה בישראל השב אל אדמתו.
קסה	כשנולד רעיון חדש אצילי, זוהי דפיקת לב של מלאך ה', וככל שנקבלה בחֵירות פנימית, תגדל ההופעה וכשרונה בקרבנו.
קסו	ציורי הנשמה של כל אחד, הם ניצוצות המתלכדים יחד לאבוקה להאיר את העולם.
קסז	כשהרוח יוצרת, מתגלה בנשמה המלאך היוצר, וכשהיצירה נפסקת מסתלק המלאך, ועל-ידי התורה והעבודה שבים ומתקשרים אליו.
קסח	היצירה הרוחנית דומה לבריאת העולם בכך שאינה באה בעמל, והלאוּת מהיצירה נובעת מתפיסתה כעמל.
קסח2	הצדיקים חפצים בעמל כדי לעשות רצון בוראם, אך מדרגתם האמיתית היא להתענג על ה', וכשאינם עובדים על-פיה הם מתייסרים.
קע	הנשמה מזלפת תמיד שטפי יצירה, והכשרון הנכבד הוא להרגיש את יצירתה ולבטאה בצורה נאותה, ואז יתגלה הדרה.
קעב	הנשמה יוצרת ושרה באופן תמידי ואינה תלויה בזמנים מיוחדים, וצריך להקשיב לשירתה.
קעב2	חיי הנשמה רצים ושבים ומזמרים לה' ללא הרף – כמלאכים, וככל שיכיר בעל הנשמה העליונה בגדולת עצמו, יתמלא זיו ונהרה.
קעג	אין להתנגד להתגלות התדירית של עצמיות הנשמה, המביאה את האדם והעולם לאושר נעלה מכל שם של מטרה מוגדרת.
קעד	כל חזון המתגלה לאדם, קול קורא ממרומים הוא, ובטהרת נפש סרים המחיצות החוצצות בעדו, וזוכים לראותו ולשמעו.
קעה	חירות הנשמה ההוגה באה מִזיקהּ הפנימי, המתלבה מאור התורה הבאה מבחוץ – כל זמן שהיא נותנת לו מקום.
קעו	היצירה הרוחנית יוצרת מתוך עצמה, בלי השפעה זרה, והיא מתגברת ככל שתאמין בעצמה, והשקר שנדבק בה מושפע מבחוץ.
קעו2	גם אם ישתעשע האדם בדמיונות קדושה, לא יגיע לחלק קטן מגדולת ה', ולכן אל יגביל את דמיונו.
קעז	מי שיש לו נשמה של יוצר, מוכרח ליצור רעיונות, ולא להיסגר בתלמודו בלבד.
קעז2	ההתמדה השטחית עלולה לפגוע במרחב במחשבה, וצריך לגאול את הנשמה ממצר זה.
קעז3	דרכה של האמת להתגלות בבת אחת, והלימוד האיטי הנו מכשיר בלבד.
קעח	הלימוד והקליטה החיצונית הנם עצות איך לדלות מתוך החבוי בלב, והמחדש העליון אינו מחדש, אלא מקשיב לעליונים ומעתיקם.
קעח2	כל חידוש בתורה צריך להיות אידיאלי, ומבוסס על עומק הישרות, הקודש, ההיגיון, השירה והיופי.
קעט	כל חידוש בתורה הוא תמצית של עולם שהתחדש, של שמים חדשים או של ארץ חדשה.
קעט2	הזוהר המסתיר את האותיות, כולל אותן בתוכו, ובתפילת אמת שואבים מהאור העליון שאינו מסתיר אותן.
קפ	קליטת שפע המחשבות ועיבודן, מקרבות את חכמי הלב למקורן, ומכשירות מקום לקליטה נוספת, ובדרגה עליונה הן אינן ניתקות ממקורן  כלל.
קפא	נשמת הצדיקים הצמאה לה', לא תוכל להכחיש את עוצמת מעלתה, וכן הדבר גם בנשמה הכללית של כנסת ישראל.
קפב	כשהאדם מתקדש נשמתו מתגלה, חושיו מתחדדים ומתעלים, והוא משתוקק לטוב ומואס ברע.
קפג	הנשמה בגדלותה משוחררת מכבלי הגוף, אך שומרת על זיקה וכבוד אליו.
קפד	המחשבה האלוהית הנכנסת בנשמה, מוכרחת לפרוח ממנה בטרם תתגבל בגבולות הגוף, וברק חדש בא ומאיר, וחוזר חלילה.
קפה	הברקות הנשמה, אף שאינן מסודרות, ממלאות את הנפש, יותר מהעמל השכלי וסדרי העבודה.
קפו	ההשגה הרוחנית בעולם הזה באה בהברקות, ובהירותה תלויה בתדירותן ואיכותן, והחשק להופעה רצופה בא מצפיית עולם הבא.
קפז	מוטלים אנו בין זרמי האור שממעל להכרה ושתחתיה, וצריכים אנו להכשיר את עצמנו לקבל את הטוב משניהם ולחברם.
קפח	פעולתה החרישית של רוח הקודש באדם, מקשרת ומְהַרְמֶנֶת אותו עם החיים העליונים ודורות עולם, ודיבורו מתחייה.
קפט	הנשמה שואפת לשורש היצירה, בו מתאחדת תנועת החיים המפורדים ושאונם, עם השלווה הפנימית ההרמונית.
קצ	צער הצדיקים הנובע מחיפושם התמידי, מתרפא בידיעתם את ערכו הנובע ממעלתם העליונה.
קצא	הנשמה החופשית יוצרת ומטביעה את חותמה על הגוף, וייסורי הגוף מהתגדלותה ייסורי יצירה הם, המכשירים אותו להתענג על ה'.
קצג	צער היצירה מהתפרקות הסדר בעולמות העליונים לשם ירידתם, מתנחם בהארתו בהוויה, ויוצרים עמוקים חשים בו.
קצה	יסורי היצירה הבאים מהמעבר מעולם החומר אל עולם האצילות, ממרקים את האדם, ועל-ידם זוכים לעונג העדין של היצירה.
קצו	התגשמות  החיים הרוחניים זקוקה לגבורה, הנושבת מתוך העוז העליון שבחסד הגנוז, הממתיק את צער ההתגשמות.
קצז	ההבנה שצער הנשמה בכל צרותיה הוא בעצם צער על אובדן חירותה, היא הפתח לגאולתה, בפרט ובכלל.
קצח	פחד המחשבה המונע אותה מלהתפשט, נובע מחולשה מוסרית, או גופנית, או עולמית, וגאולת המחשבה מחוללת גאולה כללית.
רג	ודאות החזיונות מביאה לצער אי-ידיעת מקורם, ואי-הידיעה מעשירה את הנשמה בוודאות עליונה, וחוזר חלילה.
רה	כל מדרגת ודאות הנה ספק לעומת הוודאות שמעליה, ושורש כולן בוודאות העליונה המוחלטת.
רו	כשמדרגת ספק רוצה להתפאר בוודאות הגדולה ממידתה, היא נשברת, וסופה להתחיות ממקור הוודאות.
רז	מדרגות הוודאות שונות, והאמונה מתפשטת מהוודאות המוחלטת העליונה, עד העולם המעשי הנמוך.
רח	כל המכשירים התרבותיים, אינם אלא דרכים להגיע לעדינות של ההסתכלות הרוחנית הוודאית.
רח2	המסתכלים הפנימיים אינם נבהלים מהסתירות שבין העולם החיצון לעולמם, מפני שכולן באות מצמצום השכל.
רט	התאמת הידיעות העליונות זו לזו היא הראיה על אמיתתן, והמחקר הוא רק אמצעי לידיעה כזו.
רט2	ככל שהאורה האלוהית מתפשטת בעצמיות החיים, על-ידי סדרי חיים ורגשות קדושים, נעשית האמונה ברורה וודאית יותר.
רי	הכרת האדם מסופקת בתחילתה, ולכן הוא זקוק ליראה הנמוכה, וככל שמתעלה הכרתו היא נעשית וודאית ועמה מתעלה גם יראתו.
רי2	נשמת הצדיקים נרפאת ומתגברת מעיסוק ברזי תורה, ומכוח קדושתם הם מזכים את כל העולם.
ריא	בפתחי החכמה שבעולמות הפרטיים יש מקום להשערה וספק, אבל בבינה העליונה הכללית יש רק ודאות.
ריב	ההשערות האפשריות בתכני הקודש הם השירים היותר נשגבים.
ריב2	גרעין הצדק של כת המדברים הוא, שבקדושה כל האפשרי והמדומה הוא באמת מצוי.
ריג	ההשגות הרוחניות מתגלות לאדם באופן פתאומי, ולא באופן שכלי ואיטי, ולפיכך הן למעלה מאפשרוּת ונמנעוּת.
ריג2	השכלות השכל הנן מציאות, הפועלת יותר ככל שאיכותה גבוהה יותר, והאיכות הגבוהה ביותר היא ההשכלה האלוהית.
ריד	ידיעת ה' כוללת רק את המציאות, אלא שכל העבר והעתיד קיימים במציאות לגביה, והידיעה האנושית אינה אלא התענפות ממנה.
רטו	לפני הופעת רוח-הקודש הוודאית, מופיעות השערות הדמיון הספוג בשכל ואידיאליות, ועל-ידן קולטים את המציאות הפנימית.
רטז	בהכרת מרכזיות האדם וקישורו לכל חלקי הבריאה, קיים חופש מחשבתי, המתגלה אחר-כך בהגיון ובמאמרים מדודים.
ריז	לפעמים תוכן חשוב אך מסופק, עדיף על תוכן ודאִי אך ירוד.
