א	איחוד ההלכה והאגדה יביא להפריה והשלמה הדדית, וישפיע אחדות והרמוניה בתחומים רבים.
לא	כשמתייחסים לתורה כאל שורש החכמות, יונקים ממנה את כולן, אך לפני שמגיעים לדרגה זו צריך להיעזר בהן.
לב	העולם ומלואו מחכים לאורם של ישראל ההולך ומתקן את ההוויה על כל חלקיה הנמוכים, ואינו זונח כנצרות את העולם המעשי.
לג	הפקרת המעשיות מתוך התפרצות רוחנית משפילה את הקדושה העליונה, ובתיקונה על-ידי הרשעים שבים אורות הגזולים בידיהם.
לד	ישראל זקוקים לאקלים רוחני לפי תכונתם, וחושם הקדוש מכיר בכך, והשתקעותם באמונה ודבקות זרה שקולה כזנות רוחנית.
לה	בנשמת ישראל חרותה הגבורה העליונה המחדשת את העולם החומרי, ולכן היא תובעת את העלאתו, אף שהכרה זו נסתרת לפעמים.
לו	המינות כופרת בנצחיות סגולת ישראל בגלל ניתוקה את הגוף והחומר מהרוח, ואורו של משיח יגלה את אחדותם.
לז	יראת החטא מתקשרת עם יראת ה', ומכשירתה לאהבה העליונה, ומקשרת את ישראל לתורה, לחכמה ולתפילה.
לח	בנשמת המשיח הנצחית מתגלה מהותם של ישראל, והיא חודרת בכל הדורות ובכל נשמות ישראל, ואפילו בנשמות הרשעים.
לט	רק לקודש יש אופי ורצון עצמיים, ואילו החול והרע באים מדחיפות חיצוניות.
מ	הנצרות הכירה בממשות העולם ונתקה אותו מהאלוהות, והחסידות מיעטה את הממשיות, ואילו דרך התורה בגבורה ובשלטון מעשי.
מא	ישראל מספרים תהילת ה' בכך שמאחדים את האמונה והמעשה, ובהרמוניותם מקיימים את העולם, על-ידי התורה האחוזה בנשמתם.
מב	כשם שביצירת האדם, תרדמתו היתה אמצעי לבניינו, כך בתרדמת הגלות נחלש הקודש, כדי לאפשר הופעה גדולה יותר.
מג	הטוב והרע המוסריים שואבים את כוחם מהטוב והרע הכללי, ולכן רק התורה העליונה יכולה לתת הדרכה מדויקת.
מד	האמונה הקטנה דומה לנטיעה הנטועה בדוחק, שממנה לוקחים ייחורים כדי לנוטעם המקום רחב.
מה	ממשות הרע המתוארת בחכמת הרזים, מבליטה את תפקיד הרע להעמיק את הטוב, ועל-ידי כך היא מגלה את שורשו בעומק הטוב.
מו	ברוח האדם ספוגה תמצית הטוב והרע הכללי, ובכוחו להשפיע על-ידי נטייתו לטוב על כל המציאות, ולהפוך את הרע לטוב.
מז	ארבע שאיפות הן: האלילות שואפת להשלטת הרע בעולם, הבודהיזם התייאש מהעולם בגלל שלטון הרע בו ושואף לכיליון.
מח	הנצרות התייאשה מהעולם החומרי הדבק ברע, והיהדות שואפת להשליט את הטוב על הרע ולהופכו לטוב.
מט	יש אנשים, עמים והנהגות, שרכושם הרוחני מרוכז ועליהם להתרכז בו, ויש שרכושם מפוזר ועליהם ללקטו, ויש הכוללים בזמנים שונים את שתי המידות.
נ	עבודה זרה וסעיפיה שורשם באור מצומצם, שבגאוותו גדל למעלה מערכו, ותיקונם בהתבטלותו אל האור העליון.
נא	כנסת ישראל שואפת לתיקון כולל של שורש החטא בעולם (חטא הארץ, הלבנה והעולם), ואינה מסתפקת בסליחה חלקית (כנצרות).
נב	הנשמות שנכנסו בגופים, והנשמות שטרם נכנסו, מתוועדות יחד ומשפיעות ברכה ושלום לעולם.
נג	המציאות מתהווה ומתקיימת על-ידי קישורה במקוריותה העליונה, וחינוך האדם מוכרח גם הוא להישאב מאותו מקור עצמי.
נד	קישור העולם לשורשו על-ידי אור התורה, יהפוך את כל הרע שבמציאות לטוב.
נה	הנצרות ברשעתה מדמה להתעלות, ומחזיקה במידת החסד בלי גבורות, ובכך הורסת את סדר העולם, והיא עתידה להודות בטעותה.
נו	עבודה זרה אין די לשנוא אותה, אלא צריך לכפור בקיומה ולהאמין באפסיותה.
נז	ברשעה ובדעותיה אין להיעזר, ואפילו בדברים הטובים שבה, שכן שורשם הוא הרע, ודווקא בהרחקתם יבוא תיקונם.
נח	כשם שההכרה במקורם האלוהי של צורכי האדם הגשמיים מכשירתם להעלאת האדם, כך גם ההכרה במקורה האלוהי של האמונה.
נט	תנועתו האורגנית של העולם הרוחני הנה תוספת עילוי באין-סוף, על-ידי יצירת גבול (בכמות), והתעלות תדירית (באיכות).
ס	צריך ללמוד קל-וחומר מהשפעת הרע בעולם על השפעת נועם הטוב בעולם, ועל-ידי כך מתמלא האדם בטוב.
סא	חילוקי הדעות נזקקים, כדי שכל דעה תתפתח באופן עצמאי, ולא תטושטש על-ידי חברתה, ומתוכם באה האחדות.
סב	האורתודוכסיה האשכנזית (הצדיקות), והחסידות (דליגת התשובה), והליטאיות (המעשיות), צריכות להתמזג ולהצטרף לעושר גדול.
סג	הנשמה שואפת לשורש היצירה, בו מתאחדת תנועת החיים המפורדים ושאונם, עם השלווה הפנימית ההרמונית.
סד	התמוטטות העולם וסערות הדמים שבימינו, מכשירים את הוצאת סגולת ישראל וישוב הארץ אל הפועל.
סה	כשם שלפי בהירות הנשמה והאורות מאירים הגוף והכלים, כך בהירות ההשגה וקדושת המעשה מגלים את נשמת יראת העונש.
סו	ישראל מספרים תהילת ה' בעולם, ואורם הולך ומתגלה בימינו.
סז	המינות ברחה מהחומר בגלל הכרתה בשלטון הרע, והאמת העליונה זובחת את היצר על-ידי אי-הכרתה בקיומו.
סח	המינות, המנתקת את הרע (ארץ) מן הטוב (שמים), דינה בתליה (התרוממות), שכן תיקון הרע הוא החזרתו לשורשו הטוב.
סט	ההכרה ברצון האדם כספוג מהרצון העליון, מעוררת לרוממו ולהתאימו אליו, ובתפילה מתבטאת התאמה זו.
ע	צער החטא בעת התשובה מזקק את הרצון, ומצטרף עם השמחה להעלות את האדם למעלה ממעלת צדיקים גמורים.
עא	גם המואסים ביש מפני רעתו, מודים שהטוב, שהוא כליון היש, הוא העיקר, אך האמת היא שהיש עצמו הוא טוב, והרע שבו הוא טוב חלקי שעתיד לעלות.
עב	אצילי הרוח פוגמים בקדושתם על-ידי השתלהבות יתירה, אך יכולים לקבלה בזהירות על-ידי התגברות הנביעה השכלית.
עג	ההתגלות הרוחנית בדרגתה העליונה, אינה מטשטשת ומחריבה את העולם החומרי כדי להשתכלל, אלא מאירה על-גביו.
עד	אחדות הדעות, ביחיד ובציבור, משלימה את החסרונות המעורבים בכל צד, ובתנאי שיופיע שם השלום הפנימי.
עה	אפסיות הרע, במבט כללי, אינה מפני ביטולו ברוב, אלא מפני ערכו העצמי האמיתי, וככל שמתקבצים חלקיו מתגלה עצמותו הטובה.
עו	אותיות התורה, המצווה והחיים, ממלאות את הנשמה, ומתגדלות מאוויר ארץ ישראל, והן המאירות באורים ותומים.
עז	צריך להילחם בתאווה הגופנית, ובתאווה הרוחנית החשוכה, על-ידי הפרדתן זו מזו, בדבקות ואור תורה.
עח	התנגדות השכל האנושי למשפטי התורה נובעת מהסתאבותו על-ידי התאוות הרוחניות וגשמיות, ותיקונו יבוא בהפרדתם ממנו.
עט	השגת השכל צריכה לבוא לפי מידת מוסריות הרצון, המתעמק על-ידי המעשה, וחכמה הקודמת ליראה אינה מתקיימת.
פ	כשם שהשכל חל בשלמותו רק על-גבי גוף בריא, כך רוח הקודש חלה בשלמותה רק על-גבי שכל אנושי בהיר ומפותח.
פא	המוסר האנושי הנו שלב המביא למוסר האלוהי המטיב לכל, שבעומקו מונחת שאיפת התיקון ואיחוד הענפים עם שורשם.
פב	בקדושת ישראל, השבת והמועדים, והארץ, מתגלה בצורה מורכזת הקדושה הכללית החבויה באדם, בזמן ובעולם.
פג	התשובה הכללית, וירידת העולם לצורך עלייתו, מתבארות בהתבוננות בירידת הנפש הפרטית.
פד	הופעות עליונות מציפות את הלב, והוא עולה על גדותיו ומרנן, וזהו מקור הזמירות והתשבחות לה'.
פה	עיקר תורת המוסר בחיים היא להפריד בין הטוב לרע, כדי שהאדם והציבור לא ילחמו בטוב, ולא יחזקו את הרע.
פו	כשם שהצורות הקרובות שבעולם המֶכני מעידות על הרחוקות, כך חיי האדם מלמדים על רוחניות העולם, ועל הרזים שמעליה.
פז	על-ידי מעשה האדם ותיקון רצונו, מתעלים העולמות כולם בתוספת ברכה מהמקור העליון.
פח	העבודות השכליות הן: להלביש את רוח הקודש והתורה בשכל אנושי, ולהפשיט את השכל האנושי לאצילות עליונה.
פט	בזמן שאדם מרגיש את שפלותו מכל הברואים, יידע שאז כל העולם מתקיים עליו, ושבהתרוממותו יתרוממו כולם.
צ	הרהורים שיש בהם רצון נשגב וגעגועי קדושה, אף שאינם מבוררים, הרי הם אוצרים בקרבם חכמה ושירה רבה.
צא	כשם שבאורגניות של העולם הגשמי החלקים העליונים זקוקים לנמוכים, כך באורגניות הרוחנית הקדושה זקוקה לרשעה.
צב	על עצמות האור האלוהי לא שייך התואר "סיבה ראשונה", אלא "אור אין סוף", ורק בערכי העולמות אנו מכנים אותו כך.
צג	העדינות הנפשית מרגילה את האדם להיות מאושר בהווה באושר העתיד השלם, והזמן אינו חוצץ בעדו.
צד	טהרת המידות מזקקת את שכל האדם להיות מאושר ובוטח בישועת הכלל ותחיית המתים, אף שאינו בטוח בהיותו ראוי להם.
צה	יסוד העקדה הוא הגברת הרגשות היותר עדינים וביטולם באהבת ה'.
צו	רזי תורה הנעשקים בידי החיצונים, מטעים לחשוב שרכוש הנשמה הפנימי, יכול להחליף את עבודת ה' ודקדוקיה החיצוניים.
צז	המרידה המעשית נובעת מיניקה מהעתיד בו יבוטלו המצוות, אך בטרם יתוקן העולם היא הרסנית לישראל.
צח	המינות הפקירה את המשפט לטובת הרחמים המדומים, וגרמה לשפיכות דמים, ואילו המשיח ישפוט תבל בצדק.
צט	השמחה שבעבודת ישראל נובעת מהתאגדות יסוד החיים ואור התורה, והמינות שקצצה והפרידה ביניהם, דלדלה את דעת ה' בעולם.
ק	החירות הוטבעה בנשמת ישראל בצאתם ממצרים, ושעבודם לה' הוא חירותם, ולכן לחם העוני (המצה) הוא החירות האמיתית.
קא	כשם שהשתיקה מאפשרת את נביעת רוח הקודש הפנימית, כך הדומיה המחשבתית מאפשרת גילויים עליונים, וזוהי פעולת המצה.
קב	שמחה מקורית יש רק בחידוש מחשבות הקודש, והיא נקודת התמצית שבכל שמחה, ובהבחנה בינה לסיגיה מתעלה העולם, והצדיקים מעלים את כל נקודות השמחה.
קג	הארציות וההשגות הבנויות עליה, מבססות את הרוח לבל תטבע בסערותיה, עד שתמצא מקום מבטחים או שתדע לשחות.
קד	בעת הדומיה הקדוֹשה, הדיבור הורס את הבניין הרוחני, וכשנותנים לה את מקומה, היא מעמיקה ובונה את שטף הדיבור.
קה	כשהרוח חודרת במחשבה ובמוסר יותר מדי, ומתוך כך היא מעיקה, מרפאים אותה בחיצוניות ובשטחיות של החול.
קו	קדושת הפסח מגלה את עומק הטבעיות של האמונה ואת העושר הקיים בה, שמפני החטא אינם גלויים לכל.
קז	ככל שמתעלים חידושי הרוח, גדלה האחיזה בפשטות הראשונה, כיציאת מצרים המתגלה בכל דור.
קח	שלילת ערך העולם מבליטה את ערך העולם-הבא, והעולם-הזה המשמש לו כפרוזדור, וישראל מגלים את ערכו העצמי של העולם-הזה.
קט	יציאת מצרים (ע"י משה) וגאולת העתיד (ע"י אליהו), הנן פעולה אחת שאינה פוסקת, ורוח ישראל מקשיב לקולה הנסתר.
קי	אור התורה של האבות (משה), ואור הטבע הישראלי הקדוש ושמירת הברית המתגלה בבנים (אליהו), מתאחדים באחרית הימים.
קיא	עונג התורה והמצוות מרגיע את צער הנפש ונשמת כנסת ישראל יונקת ממנו תמיד, ומשפיעה על כל יחיד לפי קישורו אליה.
קיב	ככל שמרימים את האלוהות למעלה מכל ציור, ההכרה מזדקקת והרצון מתקדש, ובירור ההכרה מגביר את השירה והדיבור.
קיג	לפעמים הרוח מצטמצמת במקום מרוכז אחד, כדי להופיע משם באור גדול על כל העברים.
קיד	לשד החיים של התורה והמצוות, מורגש לאחר זמן, אם מעט ואם הרבה, ובעת צרה הוא מתגלה ונותן כוח להופכה לישועה.
קטו	העיקר הוא ביאור התבונה האנושית על-פי שפעת הקודש (בצלאל), אך צריך לשלב עמה ביאור הקודש בתבונה אנושית (אהליאב).
קטז	כל מדרגת ודאות הנה ספק לעומת הוודאות שמעליה, ושורש כולן בוודאות העליונה המוחלטת.
קיז	כשמדרגת ספק רוצה להתפאר בוודאות הגדולה ממידתה, היא נשברת, וסופה להתחיות ממקור הוודאות.
קיח	כל ההוויה, הדומם והחי, מתעלה התעלות תמידית, וישראל מקשיבים לתהילת ה' העולה ממנה.
קיט	הרמז דומה ליצירה, בכך שככל שנשמת היוצר עצומה יותר, היא מתבטאת בצורה יותר פלאית ורחוקה מהמציאות.
קכ	הקול העליון, חודר בין קולות השלום השוויוני וקולות המלחמה המבלטת כל יחיד, והנשמות הצמאות אליו הן מלאכי השלום בעולם.
קכא	יחוס השבטים נשכח בגלות כדי למנוע פירוד בישראל, וסופו שישוב באחדות הרמונית על-ידי אליהו, על-ידי סתרי תורה.
קכב	אם אדם רואה שפחד תדירי חל עליו, יידע שעליו להעלותו ליראה עליונה תמידית שתוכה אהבה, ולגילוי רזי תורה.
קכג	לפעמים נוח להתחיל מהכרה כללית, המובנת לחושי הנשמה הפנימיים, מלהתחיל בהכרות פרטיות ושכליות.
קכד	מאבק הטוב והרע העולמי, המתגלה גם במלחמת הפנימיות והחיצוניות בנפש האדם, מגביר את כוח הטוב.
קכה	שורש הביטחון הוא בהירות ההרגשה בטוב ה', ורק בענפיו יש מקום לתפילה להתגלותו, והענפים מתברכים מיניקתם משורשם.
קכו	לפעמים קשה לעסוק בפרטים מפני שאיפה לכללים, ולפעמים מפני פגמי החטא, וצריך למצוא עצה מתאימה לפי סוג המניעה.
קכז	התורה וההלכה מקורן באמת העליונה, ולכן עדיפות הן על הנבואה והאגדה שמקורן בפנימיות האדם, והיפוך סדרן הוא צרת גלות.
קכח	קיבוץ הפרטים, באדם ובמחשבות העליונות, מגלה מחשבה עליונה למעלה מכל מחשבות, ומוסיף אורה באופי הכללים.
קכט	יש רוח ממוזג המסדר את הקודש בחיים, ויש רוח סערה הפורץ את כל הגדרים, וכוחו יפה לשעתו, אך אינו יכול לנהל חיים קבועים.
קל	המחשבות יונקות ממקורן הנעלם, והדבקות במקור בזמן עניות הדעת (גרסה חסרת הבנה), מפרה את המחשבות בזמן הרחבת הדעת.
קלא	שאיפת הכרת האדם צריכה להיות להשתלמות תדירית, והפונים אל השלמות מתוך רצונם להתהדר בה, משתוממים.
קלב	תפילות האבות הופכות לכוח חיים הנאגר באומה, ומצטרף עם תפילות הבנים לעדן את החיים.
קלג	הדבקות באין-סוף בלא הכרת האצילות והספירות, הנה דמיון מרומה, והצימאון לאין-סוף שיש בהן, מציל מסרך עבודה-זרה, ומתקן אותה.
קלד	השפעות הקודש והחול על האדם, אינן באות לצמצם את עצמיותו, אלא להגבירה, וההבדלה ביניהם מבהיקה את זוהר התורה.
קלה	יחס האדם ויוצרו מניב את תנובתו לפי בהירותה של הנשמה, והוא חודר בכל מעמקי הנפש ומתפשט בכל החיים.
קלו	יש ששירת ישראל באה מלמטה למעלה (מהתורה למקורה), ויש שבאה מלמעלה למטה, ויש שבאה מהמקור הכולל שניהם כאחד.
קלז	האנשים הטבעיים מכירים את האלוהות המוטבעת השורה בחומר, וקדושת השבת מגלה את שם הוויה של הקודש הבלתי-גבולי.
קלח	בעתיד יתגלה שכל השאיפות הן דבר ה', ומשכללות את עצתו העליונה, והקמת סוכת דוד תהיה הגילוי שמעולם לא נפלה.
קלט	הסכלות גדולה מן החכמה בעצמת חייה, ובמיעוטה היא מהווה בסיס אמיץ, שעליו תשרה החכמה העדינה.
קמ	חסד עשה ה' עם עולמו הגשמי והרוחני, שאחדותו אינה מבטלת את ייחוד כל פרטיו, ולכן אין להיבהל מהפער שבין החבוי והגלוי.
קמא	גורל האדם והלאום אינם מקריים, וקנייניהם אינם סימבוליים, אלא הם לבוש של שורשם הנסתר.
קמב	המחשבה העליונה שהיא יסוד החיים, זקוקה לכלים רבים (תרי"ג מצוות) להכיל את שפעהּ, ולפי רוב הכלים השפעתה גוברת.
קמג	בישראל כל צדדי ההשכלה השונים מפתחים את האמונה בבורא, ואילו המינות מבססת את אמונתה על סכלות ובריחה מהעולם.
קמד	הכרת העולמות העליונים מקשרת את האדם אליהם, ומראה איך העולם ופרטיו קשורים עמם כשיעור קומה אחת גדולה.
קמה	פחד המחשבה המונע אותה מלהתפשט, נובע מחולשה מוסרית, או גופנית, או עולמית, וגאולת המחשבה מחוללת גאולה כללית.
קמו	מאורעות האדם והעולמות כולם מאוחדים הם, והכרתם מתחילה לפעמים מהעליונים, ולפעמים מהאדם, ולפעמים משניהם כאחד.
קמז	הרשע שבעולם, שהתגלה בעבודה זרה, קדם להתגלות האמונה, וסעיפיו התגלו בנצרות שנדחתה מישראל.
קמח	הטבעיות הריליגיוזית מעורבת מטוב ורע, וקרואים אנו לזכך את שורשה העז, ולהפיח בו נשמה עליונה.
קמט	בריחת הנצרות מהמצוות והסתפקותה ברוחניות, החליפה תשובה שורשית בסלחנות צבועה, שייעודה להשתיק את מוסר הכליות.
קנ	ההרגשות האסתטיות צריכות להיות מפותחות באדם, תחת שליטת השכל האנושי, ועל-גביהן מתרוממת ממשלת הקודש.
קנא	בעת גדלות הרוח – התפשטותה היא גאות ה', אך כשנופל ממדרגתו הרי היא הופכת גאווה, וצריך לצמצמה בשפלות הרוח.
קנב	לכל אחד יש שביל ועולם רוחני המיוחד לו, ודרך שמביאה ברכה לאחד, גורמת תוהו ובוהו לשני.
קנג	אל יפול לב אדם אם אינו יכול להשתקע במקצוע מיוחד, שכן ישנם אנשים שתכונתם לכנס רחוקים ונפזרים.
קנד	חיבור החכמה והאמונה צריך להיות בתוכנן, ולא רק באישיות, ולכן צריך בידיעת קונו הממזגת את שתיהן.
קנה	היצירה הישראלית מיוחדת באחדות האורגנית של הגוף והנשמה, ובחיבור עמקי החומר עם מרומי האצילות.
קנו	כל הגיונות הרוח מורכבים מסעיפים רבים, והמחקר בהם אינו תחליף לדילוג הנדרש להכרתם, ובייחוד במחשבתם הרזית של ישראל.
קנז	לפי ערך הזרחת אור חיי העולם-הבא בעולם-הזה, מתרוממים חיי הציבור והיחיד.
קנח	הכרת כוח החיים האצור באומה, שממנו נובעת פוריות התורה שבעל-פה, היא היסוד לשמחת התורה, ולמלתא דבדיחותא של רבנן.
קנט	ציור קרבת ה' מרומם את האדם, אף שמעמדו המוסרי והתורני שפל, וככל שתתרחב מחשבתו, יתעלה העולם עמו.
קס	חיבור מקור התורה שבעל-פה עם מקור התורה שבכתב, מביא להכרת רוח האומה, ואיחודה עם נשמת האדם הכללית.
קסא	גדלות החיים גורמת שאפשר יהיה לדבר על תכנים כוללים ונאצלים מתוך הכרה ברורה וקרובה לחיים.
קסב	חיבור ההשכלה הנקיה ובריאות הנפש והגוף על-ידי מידות טובות, מעשיר ומיישב את הדבקות האלוהית, באדם ובכלל.
קסג	האמונה הפשוטה והטבעית, כוללת את האמת, השירה והמידות הטובות, וכשהיא מושלת מתמלא העולם באהבה וחסד.
קסד	ראשית מחשבת העולם במידת הדין העליונה, ומידת החסד באה לאחר התהוות העולם, ודת המסתפקת בחסד – בשקר יסודה.
קסה	ההשגה הרוחנית בעולם הזה באה בהברקות, ובהירותה תלויה בתדירותן ואיכותן, והחשק להופעה רצופה בא מצפיית עולם הבא.
קסו	כל דבר נשגב מרומם את רוח העוסק בו, אך התורה גורמת לעוסקיה עילוי נסתר, הגדול מגילוייו החיצוניים התלויים בטהרת האדם.
קסז	גבורת הגוף, ביחיד ובאומה, משחררת את מעוף הנשמה ומזככת את שאיפותיה, וחולשתו מביאה מידות רעות.
קסח	כשם שהאדם ממוצע בכוחו ביחס לחיות, כך כוחם הגופני של ישראל מצומצם ביחס לעמים, ורק בעתיד יתברך כוחם ממעיין הרוח.
קסט	התורה מזככת את הטבע, ואת השירה והנבואה התלויים בו בחיצוניותם, מצחצוחי הטומאה, והפוסק ממנה מתחייב בנפשו.
קע	כל רצון חפשי סופו לטוב וכל הכרח סופו לרע, ואור הרצון הזורח בתורה, מגלה את החופש החבוי בהכרח שבטבע.
קעא	השפע שבתורה בא רק כשעוסקים בכל פנֶיה, וכשעוסקים רק בחיצוניותה, על-אף היופי והעוז שמגלים בה, היא הופכת לסם המוות.
קעב	כל חלקי התורה מחיים זה את זה, ומעלה יתירה יש בחלקיה המעשיים, שכן החיים העצמיים נמשכים בהם באופן מורגש.
קעג	על-ידי  תורה, תפילה, תשובה ואמונה, מגלים את האור שלמעלה מן הטבע, ובלעדיהם הנפש נכבלת לטבע ושפלותו.
קעד	כמו ההבדל בין מזון אדם לבהמה, כך הוא ההבדל בין היצירה האנושית והאלוהית, ובית תכונת החיים שבארץ ישראל לזו שבחוץ-לארץ.
קעה	הפילוסופיה שרויה בעולם הפירוד, ורק הסוד מאחד את כל המחשבות, והוא נשמת האומה ומדריך הכלל.
קעו	הנסתר הורס את השכל הטבעי באופן זמני, ושנאת הנסתר הנגרמת מכך, מקיימת את השכל ומאפשרת את איחודו עם הנסתר.
קעז	התכונה העצמית ניכרת לפי מגמתה, ולא לפי צעדיה הראשונים, ולכן הכרתת ישראל את הרשעה, עדיפה מרחמי המינות.
קעח	ישראל, בעומק אמונתם ובשטחיות מעשיהם,  שואפים להעלות את כל העולם ואת שורשו האלוהי.
קעט	אל ייבהל ליבנו אם שטפי הנגוהות מטשטשים את מאור עינינו, שכן הם תחילת ריקומי אורות ברורים.
קפ	עבודת הנדבה של האבות, פורצת לפעמים בעבודה המצומצמת של ישראל, והיא מקור הפרצה של עדת קורח, העתידה לעלות.
קפא	הענווה צריכה להיות מקושרת לחכמה ולזיכוך המידות, ובלעדיהם הרי היא מתחלפת בשפלות בהמית.
קפב	ערך התפילה יוצא אל הפועל רק לפי חיבורה עם החיים שבתורה המעשית, ובעתיד – עם התורה המוטבעת בלב האדם.
קפג	ודאות החזיונות מביאה לצער אי-ידיעת מקורם, ואי-הידיעה מעשירה את הנשמה בוודאות עליונה, וחוזר חלילה.
קפד	תפקיד הכמות לגלות את האיכות, והעבודה הזרה השתעבדה לכמותיות של גילויי האלוהות, והפרידה את אחדותם האיכותית.
קפה	החופש האלוהי הבלתי-גבולי המתגלה בניסים, מבאר את הצדק שבהשגחה ואת היופי שבמוסר, וישראל עדים עליו.
קפו	סילוק כוח היוצר מהיצירה מגלה את יופייה ומכשירה לגלות יופי עליון, ולכן היופי המליצי שבתנ"ך, מתגלה על-ידי עוזבי ה'.
קפז	ייחודם של ישראל מצריך תנאים רוחניים מתאימים – אוויר ארץ ישראל, תורה ומצוות, וכל הסתעפות המנהגים.
קפח	כשהמחשבות שופעות מהמקור העליון, מתברכים מהן הדיבורים וההנהגות, וכל העולם מתעלה.
קפט	סילוק השכל על-ידי תרבות הדמיון הגסה השולטת בימינו, משלים את כוח הדמיון שנחלש, ומכשיר הופעת רוח הקודש.
קצ	החכמה התתאה והדמיון הנרכש מהנוכרים, מעלים את העולם בזמן שאינו ראוי לתורה העצמית של ישראל, ועתידים להיתקן בעתיד.
