א	(א1)	כשם שצריך להעלות את המחשבות הנפולות, כך צריך להעלות את המחשבות הכשרות הרדודות.
נט	(כג4)	קיום מצוות צריך לבוא בשטף מתוך הנשמה, ואז יש יניקת חיים גם לסעיפים הרחוקים, מה שאין כן באמונה המבוססת על הגיון מצומצם.
ס	(כד1)	חילופי הזמנים בטלים באמיתת היש, ולכן ניתן לחזות בחייה הפנימיים של ההוויה ובנשמות כל הדורות, בסקירה אחת מאוחדת.
סא	(כה1)	ארץ ישראל מאחדת את התורה שבכתב ושבעל-פה, ובגלות היא יונקת ממנה בחשאי ובצמצום, ובגאולה ישובו ויתאחדו.
סב	(כה2)	כשזיו א-להים הממלא את העולם משתוקק להתבטל במקורו, היצירה העולמית לוֹאָה, והצדיקים מתגברים להשיבו ממקור האהבה.
סג	(כו1)	ישראל מפרסמים בעולם את השפעת האדם ברוחניותו על ההוויה, ואת השפעת מחשבותיו על האנושות.
סד	(כו2)	הכפירה מגלה את חסד ה' הפשוט והאידיאלי, שאינו מבחין בין טוב לרע (כנותן צדקה ואינו יודע למי נותנה).
סה	(כז1)	הצדיקים במעשיהם מעלים לקדושה את דברי הרשות והחול, ובמחשבותיהם הם מעלים לקדושה אף את הטומאה.
סו	(כז2)	בעקבתא דמשיחא כל המתחבר בנטיית לבו לתשועת ישראל, הרי הוא בעל נשמה של צדיק עליון.
סז	(כז3)	תלמידי חכמים צריכים לקבל מעמי הארץ את פעולת הטבע הפשוט, ובכך לרפא את החסרונות שדבקו בהם מסם המוות שבתורה.
סח	(כח1)	הסיגים שבהבנת האלוהות מתעוררים בזמן התחייה הלאומית, כשצריך לתקן חיי אמונה מעשיים, והחוצפה מטהרת אותם.
סט	(כח2)	כשרוח הקודש מופיעה, ואפילו בדמיון, קולטים את התורה, המוסר והחכמה, בצורה כללית, ולפי העמל מתלבשת ההארה באותיות.
ע	(כט1)	אצל בעלי הנגלה – הנסתר פשוט והנגלה הוא חידוש, ואצל בעלי הנסתר – הנגלה פשוט והנסתר מחודש, ואיחודם מביא ברכה.
עא	(ל1)	התעלות האדם מעלה, לפי ערך מקוריותה,  את כל גילויי החיים שבעולם התלויים בו.
עב	(ל2)	יחוס הרצון והכוונה לבורא מגבילים אותו כמו יחוסם של ההכרח והמקרה, אלא שהנם יותר נכונים יחסית, והאמת נעלה משניהם.
עג	(לא1)	חכמת המוסר דיברה על זיכוך המידות, ואנו צריכים לדבר גם על הגברתן והבלטתן.
עד	(לא2)	אצילות הרוח של הזקנים, אף-על פי שהיא מלאכותית (שניתנה על-ידי משה), היא טבעית יותר מכל לימוד עצמי.
עה	(לא3)	עיקר ידיעתנו באלוהות הוא: אחד, בורא ומצווה, וכל אוצר הרוח הנו פירושים המבררים ומנשאים את אותן ידיעות.
עו	(לא4)	איני יכול שלא לאהוב את כל הבריות, ואהבתי לישראל יותר נלהבה, והיא נובעת מעומק הקודש.
עז	(לא5)	ככל שאכיר את עצמיותי ואוציאה אל הפועל, כך יאיר לי אור ה'.
עח	(לב1)	הזיכוך שאזכך את עצמי, יזכך את העולם כולו.
עט	(לב2)	שורש עבודה זרה בקדושה הוא צמאון החידוש התמידי להתגלות ה', ובקלקולו הוא הופך לחיפוש אחר אלוהים אחרים.
פ	(לב3)	לפעמים ישנו דור שאינו מושפע מאופי הדור שלפניו, אלא מדורות קדומים מאד, אף שהם נראים הפוכים בחיצוניותם.
פא	(לב4)	הרעיון של "אין עוד מלבדו" אינו נובע מאי-אפשרות של בריאת יש מאין, אלא מפני האמת הפשוטה שבו, ועדיפותו עליה.
פב	(לג1)	התפילה היא דבקות והידמות הצורה ליוצרה, ולפי גודל דבקותה כך היא פעולתה.
פג	(לג2)	התכלית אינה הצער שמרגיש האדם בעת התעלותו, אלא הרגשת עונג הקדושה והטהרה, המתבררת על-ידי הצדיקים.
פד	(לד1)	דעת א-להים אינה ממעטת את צביון החיים, אלא מגרשת את המחשכים שבהם ומרבה בהם אור.
פה	(לד2)	ישנם בעלי נשמות אציליות שאין להם שייכות עם עבודה ויגיעה, והם עוסקים בהן רק בגלל שפלות הסביבה.
פו	(לד3)	שורש הדעות היישרות, המצויות בהמון, בחכמה העליונה, וקל-וחומר דעת חכמי התורה, וגדולי הדעת צריכים לבררן.
פז	(לה1)	בהעדר עבודת ה' אי-אפשר להתקיים, וגרועה מזה היא עבודה זרה, שמזהמת את רוח האדם וההוויה.
פח	(לה2)	דור עקבתא דמשיחא מחזק את החומר, שעל-גביו תתגלינה כל סגולותיה של האומה.
פט	(לה3)	לפעמים קשה לנשמה גדולה להתעסק בעבודה פרטית, מפני שהיא טרודה בשטף תדירי של ציורים עמוקים ונשגבים.
צ	(לה4)	דעת ה' פועלת שני עניינים: תועלת החברה והפרט, ורוממות אצילית של ידיעת ה' מצד עצמה.
צא	(לו1)	התשובה העליונה באה מהרגשת דיסהרמוניה בין המוסר הפרטי הפגום, למוסר ההוויה הכללי.
צב	(לו2)	בזעיר אנפין כלולה תפיסת אחדות ה' – כא-ל אחד היוצר כל, ובאריך אנפין – כהכללת הכל באחדות העליונה.
צג	(לז1)	גם התארים המורים על חיסרון, כמידת הדין, הנם שבחים, מפני שבגדולת שאינה נתפסת, כל חסרון הוא מעלה.
צד	(לז2)	כשלומדים את העניינים האלוהיים, מאירה הדעת את המהות הרוחנית שבהם, מה שאי-אפשר להשיג בשכל אנושי.
צה	(לז3)	צרוֹת הכלל והפרט ופגמי העוונות מסתירים את אור ה', אך האדם בגבורת קודש עליונה, מתגבר עליהם ומהפכם למסייעים.
צו	(לז4)	צמאון הדבקות של הצדיקים ממלא את הדמיון והרגש, ורק לפעמים גם את השכל והמעשה המדויקים, ואסור להם לדאוג ממיעוטם.
צז	(לח1)	בשעת החטא האדם נמצא בעלמא דפירודא, ובתשובתו מאיר בו עלמא דיחודא, בו הרע מצטרף אל הטוב.
צח	(לח2)	הצדיק מקשיב ומתרשם מכל תשוקה ונטייה שעוברת עליו, על-ידי השירה האלוהית ההרמונית שמתנגנת בלבו.
צט	(לט1)	הצדיקים מקבלים עליהם יסורים כדי להצדיק את הדור, ומלמדים זכות על מעשיו הרעים, וכוללים בעבודתם את הרשעים.
ק	(לט2)	בני האדם, ובייחוד ישראל, חיים בצל העולמות העליונים המשפיעים עליהם, ובתנאי שחייהם יהיו משומרים על-פי מקוריותם.
קא	(מ1)	ניתוק המדע מהתיאולוגיה, משחרר את האמונה מכבלי המדע, ומכשיר את הנבואה.
קב	(מ2)	בישראל מאירים אור המוסר הפנימי, ומקור הקדושה המקיפה אותו מבחוץ (ישראל וישורון).
קג	(מא1)	מפני קיצוניות הרשעים לשמאל, מקצינים הצדיקים לימין, ונמצא העולם סובל משני צדדים, ולכן דרך הרבים צריכה להיות באמצע.
קד	(מא2)	אל ייבהל איש המחשבה הפנימית, מהחידושים והמעשים הניכרים של אחרים, אלא יחזיק בעבודתו החשאית והפרטית.
קה	(מא3)	כל מחשבה של תשובה מאגדת את כל העבר אל העתיד, אשר מתעלה בעילוי הרצון של התשובה מאהבה.
קו	(מא4)	רזי התורה עוד יגלו את פעולת רצון האדם על המציאות, וגילוי זה יהיה בעתיד הכתר של העולם כולו.
קז	(מא5)	החוצפה שבעקבתא דמשיחא היא מיעוט האורות לשם תיקון הכלים, והיא תוּאר בהתגברות אורות הצדיקים.
קח	(מב1)	בלא החוצפה שבעקבתא דמשיחא, המעבּה את הרגש, אי-אפשר היה לבאר סתרי תורה בגילוי גמור.
קט	(מב2)	אסור להזניח שום מטרה מרעיונותיו, אף-על-פי שרבים העיכובים כנגדה.
קי	(מב3)	רזי התורה מאגדים ומאירים את כל המגמות הרוממות, אשר במחשבה הם מתגלים בצורה מפוזרת.
קיא	(מב4)	פיתוח חושי האהבה, האסתטיקה והספרות, מכשיר את הנשמה לאהבת ה' ולתפארת אצילית.
קיב	(מג1)	גילוי האור הפנימי בטיול ובמנוחה, יגביר את השקידה הפנימית והחיצונית ויפתח את הכשרונות החבויים, ובייחוד בדור עייף ויגע.
קיג	(מג2)	הצדיק חפץ לשמח את העולם בעלייתו, וזאת היא שמחת ה'.
קיד	(מג3)	הדמיון הוא עולם מלא בפני עצמו, והתאחדותו עם השכל הנה רק תוספת ברכה, ובאיחודם הם מתאחדים עם שורשם העליון.
קטו	(מג4)	אהבת ת"ח באה מעצמיותו של משה, ואהבת הרשעים מהניצוץ המשיחי שבו, ולפעמים שניהם מאירים, ולפעמים רק אחד מהם.
קטז	(מד1)	חופש המחשבה הנזקק כדי לבוא למדרגת הקדושה, תלוי בטהרת האדם מחטאיו ומידותיו הרעות.
קיז	(מד2)	בהזרחות העליונות (אוזן, חוטם, פה) זורח רצון חופשי מוחלט, ורק בתחתונות (מצח ועיניים) קיים טבע רוחני.
קיח	(מד3)	האלוהות מוכרחת במציאותה וחופשית בחידושה הוויות, ואחדות זאת קיימת גם בהוויה המוכרחת במקורה וחופשית במציאותה.
קיט	(מה1)	צריך לעורר את ישראל לתשובה, כדי לשמור על אחדותם הרוחנית, אשר אורח החיים ומהלכי הדעות מאגדים אותה.
קכ	(מה2)	לגבי האמת העליונה אין הבדל בין האמונה לכפירה, אלא רק לגבינו, ולכן גיבורים רוחניים מעלים מהכפירה ניצוצות.
קכא	(מו1)	דאגת הלב מפני העוונות מכשירה קבלת סתרי תורה, ואינה מונעת את הופעת העונג והשמחה.
קכב	(מו2)	אין איסור הגשמה בציור צער השכינה כדי להשתתף עמה, ועל-ידי כך זוכים לשמוח בשמחתה.
קכג	(מו3)	עיקר היגיעה הרוחנית באה בגלל התרחקות האדם מלהתעסק במה שנפשו מוכשרת אליו.
קכד	(מו4)	הבנת פנימיות העולם תבהיר לאדם את מדעיו הגלויים.
קכה	(מו5)	הספקנות מקומה בשכל, והוודאות – ברגש, שהוא יותר עמוק.
קכו	(מו6)	ככל שתתרחב הנפש על-ידי שחרור הדמיון והדעת, בתרבויות, במוסר האומות ובתורת ישראל, כך יתבהרו ציורי האלוהות שלה.
קכז	(מז1)	החילוק בין גילויי ההוויה, תנועותיה ושאיפותיה, אינו החלטי אלא הדרגי.
קכח	(מז2)	ראוי להשתוקק להתחבר עם כלל ישראל, וחסרון חיבור בדרגה הנמוכה ביותר גורר חיסרון בחיבור עם מדרגות עליונות.
קכט	(מז3)	הנשמה הגדולה משתוקקת להתפשט ולהחיות את הכל, גם את המעכבים את התפשטותה.
קל	(מח1)	פגמי המעשים, המידות והדעות, נוטלים את אור הנשמה, וסופו לשוב רק על-ידי אמונה, אהבה ויראה.
קלא	(מח2)	בקבלה המעשית ישנה עצבות מצד נתינתה ממשות לרע, ואילו הקבלה העיונית מלאה שמחה מצד ראייתה את הרע כדמיון.
קלב	(מט1)	חידוש העולם מבסס את המחשבה על אי-מציאות הרע, שהוצאתה אל הפועל תלויה בהתעלות הרצון.
קלג	(מט2)	המוסר אינו יכול לעמוד במנותק משורשו האלוהי, ובהתגלויותיו הוא מתפרט לגוונים שונים בעמים שונים.
קלד	(מט3)	הדמיונות הרוחניים שברזי תורה, המתפרשים על-ידי השכל, הנם עדיפים עליו ומחיים אותו.
קלה	(מט4)	בעלי הזריחה הרוחנית קולטים ציורים מלמעלה למטה, ומרכיבים השכלות מלמטה למעלה.
קלו	(נ1)	יכולים אנו, על-ידי עילוי הרצון שלנו, להמשיך נשמות בעלות רצון אדיר, שיביאו גאולה לעולם.
קלז	(נ2)	האידיאליות והשירה הסובייקטיביות, מגלות מציאות אובייקטיבית עליונה, ואיחודן עם מקורן העליון הוא איחוד העוז וההדר.
קלח	(נ3)	הפחד מהסוד נובע מהתנגדות הרצון והגוף אל הדעת, ועל-ידי התשובה מאחדים את הרצון עם הדעת.
קלט	(נא1)	יש באישיות הפרטית עניין נעלה יותר מערך הכלל כולו על-ידי קיבוצו, וכפי ריבוי היחידים המעולים יתעלה הכלל כולו.
קמ	(נא2)	גדולי העולם משפיעים על הכלל גם בהישפלו, על-ידי קישורם עמו, למרות הצער שנגרם להם מכך.
קמא	(נא3)	הווייתינו הזמנית לא תוכל לצאת אל הפועל, אלא בהתאמתה להוויה הנצחית.
קמב	(נא4)	השאיפה אל הדר הנצח, מנצחת את המוות. אנשים גדולים מגיעים אל הקטנות בדרך של גדלות.
קמג	(נב1)	כשהנשמה מתנוצצת, ממשיכים בלימוד את הנשמה הכללית ואורותיה.
קמד	(נב2)	רצון הלב הגלוי, מוציא אל הפועל את הרצון המסותר בגוף, ושניהם מגלים את הטוב שבהוויה.
קמה	(נב3)	כל פרט מהתורה והמצוות נובע מכל התורה וכולל את כולה, ואף שיש חילוקי דרגות ביניהם, אהבתם ושמחתם צריכות לכלול הכל.
קמו	(נב4)	כל התורה וכל הטוב שבעולם, הם שמותיו של ה', וחיסרון ההכרה בכך פוגע בגילויים רק באופן דרגאי, ולא מוחלט.
קמז	(נג1)	מי שטבעו לחשוב מחשבות גדולות, אל ינמיך את מחשבותיו לבינוניות, אף-על-פי שהן טובות בעצם.
קמח	(נג2)	אצל המשיגים הגדולים, ענייני השעה אינם תופסים מקום, והם מפנים את עיוניהם לעניינים נצחיים בלבד.
קמט	(נג3)	למרות שלא שייך זמן לגבי הנצח, הזמן משתלם בהיכללו בנצח, ולכן השינויים הם מציאויות שוות ומתמידות.
קנ	(נג4)	בעל התשובה צריך למחול לעצמו על עוונותיו, ועל-ידי כך להמשיך מחילה לעולם כולו.
קנא	(נד1)	המוסר בא אל האדם בקולו האלוהי מנשמת ההוויה, שאין בה חטא כלל, ונשמתו מבקשת מעשים שמקורם אלוהי.
קנב	(נד2)	כשכשרון הקדושה מתגבר באדם הוא עורג בדבקות עליונה, ושיתופו עם שאר בני האדם הוא רק חיצוני.
קנג	(נה1)	אלמלא החטא הקדום, היה הפולחן הטבעי מכוון לעבודת ה', ואחרי החטא צריכה הנשמה למשול, והצדיקים מעלים גם את הגוף.
קנד	(נה2)	המסתכלים הפנימיים אינם נבהלים מהסתירות שבין העולם החיצון לעולמם, מפני שכולן באות מצמצום השכל.
קנה	(נה3)	ככל שהתפילה מוארת באור השכל, כך היא פועלת על המציאות הרוחנית והמעשית.
קנו	(נו1)	הדבקות בצדיק מאירה את החיים כולם, והחסידות השתדלה לתקן זאת.
קנז	(נו2)	כנסת ישראל היא תמצית ההוויה, ומאורעותיה הם תמצית ההיסטוריה, ואמונתה היא התמצית המבוררת ומבררת את כל האמונות.
קנח	(נז1)	המסתכלים הפנימיים אינם יכולים לעזוב את לימוד הרז גם בשעת ערפול, ויחד עם זה הם עוסקים בתורה לשמה.
קנט	(נז2)	הרצון לעבור בתורה מעניין לעניין, בחוסר יישוב, בא מהרצון לכלול את כולה, וצריך להעלות רצון זה.
קס	(נז3)	בעלי הסוד מרגישים את החירות העליונה, ואינם יכולים לצמצם את עצמם לקבלת עול מלכות שמים מצומצמת.
קסא	(נח1)	מרגישים אנו את האילמות הרוחנית, המונעת מאתנו לבטא את האור בשפתינו, ובתפילתנו ותורתנו אנו מחכים לפתיחת פתח.
קסב	(נח2)	למחשבות הגדולות, ובפרט למחשבות החסד, יש כוח להתגבר על מונעיהן, ולהעלות את העולם.
קסג	(נט1)	נפילות הצדיקים באות מפני עזיבתם את תוקף החסד, והזדהמותם בעולם המלא גבורות.
קסד	(נט2)	גאוות ישראל היא אור החסד העליון שלהם, ורק הם ראויים לה.
קסה	(נט3)	טהרת המידות מסלקת קנאה מהלב, וגורמת לאדם להיות מרוצה מעצמיותו המיוחדת.
קסו	(נט4)	החכמה הבאה מקנאת סופרים תירקב ותסרח, ותתבטל צורתה, ואז תואר באור החכמה העליונה.
קסז	(נט5)	כשאי-אפשר להידבק בדברים קטנים, מפני הדברים הגדולים, אין להיבהל, אלא להוסיף עלייה שמאירה גדלות וקטנות.
קסח	(ס1)	ביטול תורה הבא מטהרת הנשמה וגעגועיה לציורים עליונים, הנו מדרגה בדרך לשקידה עליונה הכוללת את הדומיה.
קסט	(ס2)	הזמן שבו האדם אינו ראוי להופעות עליונות, הוא המתאים ללימודי הנגלה, ובהתפרצות אור הנשמה צריך לתת לה את חופשה.
קע	(ס3)	עמקות האמונה מעדנת את הענווה בגאוות קודש, וריחוק ממנה גורם לאהבה עצמית גסה ולגאווה, שסופן הוא הרס אישיותו.
קעא	(סא1)	מצד פעולתה של התורה, המסירה מרע, שווים כל ענייניה, אך מצד התגלותה, יש הבדל בין דבר גדול לדבר קטן.
קעב	(סא2)	האנשים הגדולים מוצאים בקרבם התנגדות פנימית להתלמדות מאחרים, ועיקר השלמתם היא בתורתם העצמית.
קעג	(סא3)	מגמת רזי תורה היא פיתוח כוח הנשמה וההוויה לשאוב ממקורן, בלי צורך בהתלמדות אמצעית, על-ידי איחודם את השכל והרצון.
קעד	(סא4)	בלימוד מאחרים קולטים גם ניצוץ זר לנשמה, והנטייה להתרחק מהתורה באה לתקן דבר זה.
קעה	(סב1)	מחשבה מבוררת מחייה את הרוח, ולכן אדם צריך לברר את השייך לערכו, ורק הדבקות העליונה מחייה את הכל.
קעו	(סב2)	עיקר השמיעה בקול ה' היא, להקשיב לכל דרכי החיים מתוך החכמה העליונה, ולכל הפרטים מתוך הרוחניות הכוללת.
קעז	(סב3)	המשיח יפרש את תורת משה, בכך שיראה איך כל העמים יונקים ממנה, ואף-על-פי-כן לכל אחד יש מזג משלו.
קעח	(סג1)	הכרת אחדות העולמות והשוויתם הפנימית, הנובעת מהיותם רק נטף אחד מגדולת אין-סוף, אמיתית יותר מהפירוד הקיים במדע.
קעט	(סד1)	החלק הגלוי שבתורה ושבעולם מכסה את הנסתר, ואף שלפעמים הנסתר בוקע בלי הדרגה, והסדר הרגיל הוא – מן החוץ פנימה.
קפ	(סד2)	הקדושה המתגלה בעולם, מחלצת את האדם מיישותו הצרה לפי הכנתו אליה, וחוקי התורה מתאימים לאופיים המיוחד של ישראל.
קפא	(סה1)	השכל הישר, שאינו מתעוות על-ידי שום נטייה, הוא יסוד הכל, והוא המביא את האושר הנצחי.
קפב	(סה2)	בדורנו העיסוק ברזי תורה הוא הכרחי, והירידה שגרמה לכך היא בעצמה עלייה.
קפג	(סה3)	צריך להפריד את הגבורות אלו מאלו על-ידי ניתוק פגמי החטא משאר חלקי החיים, כשם שהפיזור טוב לרשעים.
קפד	(סה4)	מצד הגבורה – הציור האלוהי מאפס את העולם, ומצד החסד – מגבירה אהבת ה' את אהבת העולם והבריות.
קפה	(סו1)	כשם שהרצון שבעולם מגלה אלוהות יותר מהחומר, כך רצון האדם ונטיותיו הנפשיות, ומתוך היחס הגלוי מתגלה היחס הנסתר.
קפו	(סו2)	לפעמים אי-אפשר לעסוק בתורה ובמצוות מפני התגברות הדבקות, וצריך לתקן כלים לאור זה בהדרגה, כדי שלא להיפרד ממנו.
קפז	(סז1)	חכמת האמת מלמדת אותנו למצוא את הדמיון בין הצורה ליוצרה, עד כדי השלטת רצון האדם בהוויה מפני חשיבותו.
קפח	(סז2)	בעקבתא דמשיחא "חכמת סופרים תסרח" – תִּרבה ספרות בטלה, שהעלאתה לקדושה תיעשה על-ידי רזי תורה ואורו של משיח.
קפט	(סז3)	צדיקים עליונים צריכים להיות בשלווה ולא בעצבות ותשישות, שכן עצמיות נשמתם מבסמת את העולם יותר מתורה של עמל.
קצ	(סז4)	בהסתכלות של אמונה רואים, איך המדע, התרבות וחיי החברה, אינם יוצאים מחוץ לתוכן האלוהי בעולם.
קצא	(סח1)	ישנם תיקונים, גשמיים ורוחניים, שבאים לעולם על-ידי הרשעים, ורק בתשובה מאהבה באים אליהם גם הצדיקים.
