א	שלושת הכוחות הנאבקים ביניהם בתוך מחננו – הקודש, האומה והאנושיות, צריכים להתאחד.
קי	הצדיקים העליונים זקוקים לרשעים שיקררו את דבקותם, שלא יתנתקו מהעולם, ולימוד הזכות שבכך מגביר את יחס הצדיקים לכל הנשמות, ומביא תועלת אף לבינוניים.
קיא	ישנם רשעים שנטייתם להיטיב הנה הופעת אותיות של שמות עליונים, וחוסר ההכרה שלהם בכך, גורם לטוב להתמלא ברע.
קיב	העבודה היצירתית גדולה מהמסחר המתפרנס מן הפירוד וגורם לו – בגשמיות וברוחניות.
קיג	בחכמה, ביושר, ביופי ובאמת – אין סתירות פנימיות, אלא רק מצד החשמל של הנגוהות האופף אותם.
קיד	כוחה הרוחני של האישה הוא בפיתוח ובהפריית הגרעינים הרוחניים המזוקקים והמקוריים של הגבר.
קטו	צריך לירא מהחטא שלו ושל אותם שבידו למונעם מלחטוא, ולגבי שאר האדם יידע שקילוסו של הקב"ה עולה גם מהרשעים.
קטז	החכמות כולן בטלות מול עצמת התורה, והן כלולות בה ומתברכות על-ידה, ועל-ידי זיכוכן הן מתאחדות עמה.
קיז	החולשה שבאה בהארת התורה, באה מטהרת הנשמה, המכשירה את הגבורה הנצרכת להבליט על-ידה את האור האלוהי.
קיח	המוכשרים לדבקות וחסידות אל ירפו מעבודתם המיוחדת, אלא ישמחו בחלקם, ויסתכלו בעין טובה ובכבוד על האחרים ודרכיהם.
קיט	העבודה, אפילו המתנכרת לתודעת הקודש, מבררת לאדם ולעולם את היחס בין העולם ליוצרו, וממילא בין האדם לבוראו.
קכ	מי שיש לו נטייה לציורים רוחניים, ואפילו רק בדמיון, עליו להתבודד בדרכו, ולא יוכל ללכת בדרך ההמון הרגילה.
קכא	החיים הרוחניים מלאים אותיות רוחניות, ובלימוד מתקשר האדם לאותיותיו העצמיות, שהן קווים קטנים ממקורם העליון.
קכב	ראיית הנס כשידוד הטבע מביאה לחולשה, והאמונה רואה את הנס כתוספת גבורה אלוהית בטבע.
קכג	כשם שאין כנסת ישראל מוציאה את סגולתה לפועל אלא בארץ, כך אין היחיד מוציא את סגולותיו אל הפועל אלא על-ידי התורה.
קכד	השמחה בתורה, נובעת מהחיים שבאותיותיה הנקלטות בנשמה, ויותר מכך מהשפעת מעיינותיה העליונים הנעלמים מהנשמה.
קכה	המציאות וכל פרטיה, כולל ההכרה, באים לשלמותם לפי היתלותם בא-להים, וזהו יסוד הדבקות המדעית, הרגשית והמעשית.
קכו	צריך להתאמץ לראות את החידוש והרעננות שבמחשבות הקודש הישנות.
קכז	ההודאה לה' היא עומק חופש המחשבה, והתפילה מביאה לחירות זו.
קכח	האמונה העליונה משתפלת לשדרות נמוכות, כדי שכל אחד יתארהּ כפי יכולתו, אך חכם הרוח היונק משפלותה, נקלע לסתירות.
קכט	היראה היתרה מדכאת את הניצוץ האלוהי שבנשמה, וצדיקים עושים עליה תשובה.
קל	הצדיקים העליונים אוהבים את ההתייחדות עם נשמתם בשורשה העליון, ומתוך כך הם באים לאהבה עליונה, המתאחדת עם היראה.
קלא	הֵעלמוּת המחשבה העליונה גורמת למאיסת התורה והקדושה, ובהתגלות אורהּ העליון מתפשטים אור וחיים על כל ענפיה.
קלב	אל ייבהל הצדיק מנפילותיו, בייחוד בענייני כבוד חברו, שכן יש בהן מעט טוב מפני שמגדילות את נשמתו, אלא ישוב מאהבה.
קלג	אחת מדרגות רוח הקודש היא התבררות יחס האדם לא-להים, ומתוך כך יחס העולם לא-להים.
קלד	הכעס בא מכעס עצמי על ריקניותו, שהאגואיזם גורם להוציאו על אחרים, וצריך לשנוא את הכעס בכעס גדול, אך במתינות.
קלה	המחשבה הכלל-ישראלית צריכה להיות גדולה ועליונה כל-כך, עד שתכלול את המחשבות הקטנות ביותר.
קלו	המעיינים משתוקקים לשורש המחשבות, אך צורך העולם מכריחם לפתח את הפרטים, והאמונה באחדותם מגבירה את נועם התורה.
קלז	עבודת האדם היא לזכך את החיים הטבעיים והרצוניים ולמזגם עם המחשבתיים, וזה נעשה על-ידי מילוי הנשמה בעריגה א-להית.
קלח	כישלון הצדיק בהנאת הרשות, שבא מתוך התעלות נפשו והרחבת רצונו, מתהפך בקפיצה מהירה לחשק הרוחניות העליונה.
קלט	המחשבה האלוהית הנכנסת בנשמה, מוכרחת לפרוח ממנה בטרם תתגבל בגבולות הגוף, וברק חדש בא ומאיר, וחוזר חלילה.
קמ	ישנם צדיקים כשאול המלך, שהתמתק אצלם שורש הרע, וכל פגימה במידותיהם, אפילו הרעות, פוגמת בקדושה.
קמא	כל המכשירים התרבותיים, אינם אלא דרכים להגיע לעדינות של ההסתכלות הרוחנית הוודאית.
קמב	כשם שבעלי החיים מתים בים, ודגים מתים ביבשה, מפני שאינם מקום מחייתם, כך צריך להיזהר מאמונה זרה ומספרים חיצוניים.
קמג	כשמרגיש חולשה ברצונו, צריך לחזקו בכל הדרכים הטבעיות, המוסריות, השכליות והתורניות, ולא להתמקד בעידונו ובטהרתו.
קמד	אף-על-פי שרבים נכשלו מהיגיון בנסתרות, המוכן אליהן אל יימנע מהן, אלא יטהר לבבו ויבטח בה'.
קמה	אמונת ישראל בגדלותה יורדת ומתאימה גם לפשוטי העם, וככל שהיא מתעצמת בנשמה, היא פועלת עליה ומשפיעה על מעשיה.
קמו	היהדות הטבעית והניסית נאבקות זו בזו עד למציאת האיזון ביניהן, כשם שהגוף והנשמה נאבקים זה בזה עד לאיזונם.
קמז	התאוות, ובפרט אותן שיש בהן צד איסור, סותמות את מעיין החידוש של המחשבה והתורה.
קמח	התרבות המעשית וההרגשה הנפשית העליונה סותרות זו את זו, ויחידי סגולה מאחדים אותן.
קמט	מעיין הרגשת הנשמה הישראלית שנפתח, בתחילה מנביע מים דלוחים, אך סופו להוציא מים חיים ולהביא לתשובה אדירה.
קנ	הכעס והעצבות של הרשעים באים מהריסתם את ההרמוניה שבין נשמת האדם להוויה, והצדיקים קוראים להם לשוב ולהתענג על ה'.
קנא	הקישור הפרטי לענייני קרקע וכיבוש, פוגם בקישור האידיאלי אליהם, ולכן לכהנים אין חלק בארץ ובביזה.
קנב	התקווה והרצון הם יסוד החיים הרוחניים באדם, והם מתעלים לפי צדקותו.
קנג	העדר אחדות המחשבות, ובייחוד אי-התאמתן, גורמים לייסורים, וככל שגובר הרצון לאחדם ולהתאימם, גוברת אחדותם והתאמתם.
קנד	ישראל אינם מסוגלים לסבול סתירה ופירוד, ולכן פיזורם הוא רק ארעי.
קנה	ראיית המציאות הגשמית כנקודה במרחב החזיון הרוחני – מגדילה אותה, וראייתה כעיקר המציאות – מצמצמת ומשעבדת אותה.
קנו	כשהשכינה השורה באומה מתגלה בארץ, העולם כולו מתברך ומתעדן.
קנז	כשאדם דואג מפני הכבוד שכיבדוהו, ישמור את דאגתו לשמוח בה כשיעליבוהו.
קנח	צריך להסתכל בעין טובה אפילו על הרשעים, שכן נקודות הטוב שבהם, למרות מיעוטן, הן העיקר.
קנט	אומץ הרצון נפגם בדצח"מ ובאומות השונות, ככל שגדל חופש הרצון שלהם, והוא שב על-ידי יניקת כל דרגה מזו שתחתה.
קס	כשהנטייה הרוחנית מתגברת מתוך דוחק גשמי, היא נחלשת, ומוכרחת לבוא נטייה גשמית הפוכה, שבהשלמתה יתחברו שתיהן.
קסא	הצדיקים המוכשרים לתשובה מאהבה, גשמיותם ורוחניותם ממוזגות עד כדי כך, שבהתמעטות רוחם נחלש גופם.
קסב	כשהאדם מתעלה, הוא מרגיש את ערך הציבור ומציאותו הממשית, ונעשה צדיק לרבים, החי את צרכי הציבור ומנהיגו באופן פנימי.
קסג	כשהצימאון האלוהי מתפרץ בנשמות הצדיקים הם משפיעים על נפשות ישראל אהבה וסליחה.
קסד	השכל הנו תלמיד קטן המבאר את מקצת האור שבדמיון, המתאחד עם השכל העליון, שאינו שכל כלל.
קסה	לפעמים העלייה למקום עליון, על-ידי מחשבות גבוהות, מחניקה את הרוח, עד ששבים ויורדים למקום בו שרוי אוויר ארץ ישראל.
קסו	המוסר האנושי אינו מתקן את התאוות משורשן ואינו ראוי להדרכת הכלל, ועדיף ממנו המוסר האלוהי – אף אם טועים בו לפעמים.
קסז	הרגל הקדושה מפתח באדם חוש להבדיל בין היגיון, שמחה ועונג, של קודש, לבין אלו של חול.
קסח	צריך להסתכל על כל ידיעה רוחנית בתאבון, ואז יחוש בנועם הוד הספרות והשירה שבה.
קסט	רזי תורה מחדשים את הנשמה, אבל קביעות טהרת המידות באה מהעיסוק בעולם המעשי, בצדדיו הרוחניים והגשמיים.
קע	אהבת הצדיקים את הכל היא העיקר, וכעסם החיצוני הבא מרוב דבקותם, רק מגביר את אהבתם ואת ציפייתם לתשובת הרשעים.
קעא	התגברות אהבת האומה הנה התגברות אהבת התורה והמצוות, המופיעה בתחילתה בצורה בוסרית, הדוחקת את הפרטים שבה.
קעב	ההשתקעות החומרית מביאה לשפיכות דמים, ולכן בהתגברותה צריך להגביר כנגדה שאיפות קדושות מלאות חסד וכבוד האדם.
קעג	הדמיון מחייה את העולם הרוחני יותר מהשכל, והתרבות וההשכלה המודרניות מטשטשות אותו, ובזה ניכרת ירידת הדורות.
קעד	אותיות המחשבה מצטרפות למילים ומשפטים, המתבטאים בדיבור באורח פלא.
קעה	האותיות מרכזות בתוכן את כל ההרחבה של המחשבה העליונה, ומכאן כוח פעולת השמות הקדושים.
קעו	כשהחופש מתאזרח בעולם, העולם מתמלא ברגש הכרת טובה, ולכן קרבן תודה אינו בטל.
קעז	כל דרגות החיים, ובייחוד כנסת ישראל, הנם הגוף בו מתגלה השכינה, ולכן ההסתכלות באופי ובגורל ישראל מגלה פאר עליון.
קעח	בתוך גן החכמה נטועים ההכרות והרגשות, התורה והמוסר.
קעט	כשם שאומנות יפה אינה מבקשת מגמה, אלא פורצת מרוח האומן, כך גם צריכים לנבוע התורה והמצוות, וזו היא תכלית הכפירה.
קפ	נכנס באוזן צדיקים קול הקורא להם לעסוק בתורה כדי לחזק את כנסת ישראל ולחברה עם דודה.
קפא	כשליבו של בעל ההסתכלות הרוחנית נוטה מדקדוקי הפרטים, ימשיך עליהם אור כללי ממקורם, וישוב אליהם בנועם גדול.
קפב	לפעמים הצדיקים משתברים במעמד הגוף, אפילו במזגים המוסריים, כדי שיזריחו את אור הנשמה.
קפג	החטא מדאיב את הלב בנתקו את אחדות העם והוויה, אך בשורשו הוא גם תוצאה של הצער, ולכן צרות העין היא תכונת הרשעים.
קפד	יראה חיצונית ממעטת את הרצון האנושי במקום להופכו, אמנם בהכרה פנימית בטוב הגנוז בה היא מתעלית.
קפה	האמונה הכללית משתרשת בחשק הפנימי ומחייה אותו, והמצוות והמנהגים הנם ביטויים לאותו החשק (כנדרים).
קפו	המוכשרים להשגות גבוהות שלא זיככו את מידותיהם שרויים לפעמים בצער, המיתקן בסיגופים או בשמחה וטוב לבב.
קפז	התרבות והכשרונות הם גילויי אלוהות, וההתנגדות אליהם מופנית רק כלפי חוסר התודעה לכך.
קפח	ציורי הגיהנם הבאים מתוך הצער על מיעוט התורה, ממרקים את הנפש מסיגיה, כדי שתוכל להרגיש את נועם שקידת התורה.
קפט	הצדיקים מכירים היטב את כיעור הרע, אך מכירים בעראיותו ובעיקריות נקודות הטוב שבו, ולכן גדולה אהבתם לכל.
קצ	קשה להכריע את כוחות הנפש בין הרצון הפונה לרעיונות בלתי-מוגבלים, לבין הרצון הפונה לתורה והמוסר הקצובים.
קצא	השאיפה לצדיקות מקשה על השאיפה לתשובה, ועדיף להשתקע בתשובה והיא תביאהו למעלה ממידת הצדיקות.
קצב	ההסתכלות המלמדת מוסר ויראת שמים מוכרחת להיות קודמת לכל שאיפה רוחנית.
קצג	חטא עצום הוא להסתפק באמונה דמיונית בלתי-מציאותית, למי שיכול לבררה בשכל טהור.
קצד	הדבקות וחופש הדעות אינם סותרים, אלא מפתחים זה את זה.
קצה	התורה מתאחדת עם הנפש, ומתוך קישור הנפש עם הכלל, והכלל עם ההוויה, נמצא שההוויה תלויה בהשתלמותו של היחיד.
קצו	צריך לגעור בקטנות אמונתו בגודל סגולת נשמתו.
קצז	המידות של גדולי העולם הן חזקות, ולכן בהתפרצותן הן נראות כפראיות, וצריך להעלותן ולא לכווצן.
קצח	הכרת האנשים הגדולים בחסרונותיהם נובעת מגדלותם, וידיעת דבר זה נצרכת להם כדי להכיר בגדולת עצמם.
קצט	לאנשים רוחניים יש שבילים מיוחדים משלהם, ואינם צריכים לקנא בגדולים המעשיים, אלא לשמוח בחלקם הגדול יותר.
ר	התשובה מאהבה גדולה מהעבודה המעשית, ושעשועי הצדיקים ממנה מגבירים את נביעת חיי הקודש בנשמות רבות ועמים רבים.
רא	סיגי האמונה אינם פוגמים בעצם אמונת האדם הפשוט, אך כשהוא מתעלה הוא צריך לזקק אותם, כדי שלא יחשיכו את אמונתו.
