א	ההבנה המוסרית בהנהגת העולם, הפנימית והחופשית, גדולה מההבנה הסיבתית, החוקתית והחיצונית, ומחייה אותה.
כה	תוכן הנצרות הוא הפרדת התורה מהיראה וניגוד לתורת ישראל, ואפשרות הופעתה באה בעקבות החשכת ההבנה האלוהית.
כו	שורש השכל בדמיון, וכשם שהמחשבה העליונה מתפשטת על כל ההוויה, כך הדמיון מתפשט מראשית הנבואה עד תעתועי הדמיון.
כז	בכל מאורעות העולם הטבעיים יש תנועה נסית, וישראל באמונתם מגלים בה את אורו של משיח, וכל נס מתקשר למעשה טבעי.
כח	ישראל הנם נר למאור העליון בהקשבתם לקול ה' שבעולם, ותיקון חטא מי מריבה של חוסר הקשבה, נעשה בגילוי חכמתם הפנימית.
כט	הענווה והיראה הכרחיות להשגת השגות אלוהיות, שכן כל מהותן היא להאיר את יחס האדם לה'.
ל	הענווה מולידה עונג והיראה מולידה שמחה, והתגלותן באה על-ידי השפעתן ההדדית המולידה גבורה.
לא	סוד ה' ליראיו הוא המלמד לרכוש כבוד לטבע המוסרי וההיסטורי, שרוח ה' מופיעה בו, וגילויה הוא על-ידי ישראל.
לב	אחדות הנס והטבע מאירה את אורו של משיח, ובכל כוחות הטבע, אף הקטנים, גנוז אור זה, ומהם נגרמים לרוח המשיח יסורי חנק.
לג	על-ידי יציאת מצרים הוזרח החופש העליון של הנס, בעולם הסיבתי והטבעי, והעלהו.
לד	מחשבתם של ישראל המכירה בהנהגת העולם, מרוממת את הטבע ומכשירתו לאור הנס, וזוהי משמעות ברית הקשת.
לה	הנסים והמצוות עשויים בטבעיות סיבתית עליונה וחופשית, ההשתעבדות לטבעיות היא עבודה זרה, והזלזול בה הוא שורש המינות.
לו	המינות אחזה ביסוד הכישוף המהפך את סדרי הטבע, והנסים הנובעים ממלכות דקדושה, ישליטו את הקודש בטבע והסתעפויותיו.
לז	הטלת הארס של המינות באגדה ובנבואה, והפיכתן לניגוד ההלכה והתורה, הביאה להסתרת האגדה, ובזיקוק העולם מתבררת אחדותן.
לח	יצר הרע מתגבר בייחוד בישראל מפני ניגודם הפנימי אליו, ואילו הגויים שורשם רע, וחסידיהם יונקים מנשמת האדם הכללית.
לט	הגויים נתונים תחת שליטת הטבע הגס, המזלות והרצון העיוור, וישראל משליטים בכל את הקדושה, השכל והחירות.
מ	כל הגברה חיצונית של דיבור וראיה, מעבר לתביעה הפנימית, מאפילה על הרגש, וסותמת את חרכי הנשמה מלהופיע את אורה.
מא	כל הנמנעות נולדו אחר הצמצום, אך בעצמות הישות העליונה אין נמנעות, ואפילו מניעת היות א-לוה כמותו אינה יכולה להתבטא שם.
מב	אושר החיים מותנה ברכישת כלים רבים להוציא על-ידם אל הפועל את האושר, ובצפיית ישועה אקטיבית הבאה מרזי תורה.
מג	עילוי העולם תלוי בעילוי הרצון הפנימי שבאדם, ובתיקונו יתהפכו הרע וכוחות היצירה והספרות שלו לקדושה.
מד	נצחיות הרעיונות, התנועות והדיבורים, תלויה בקישורם לקדושה, ובריחוקם ממנה הם אבודים.
מה	הרשעה מתפצלת לעבודה-זרה הנלחמת בקודש מבחוץ, ולמינות הניגשת לקודש עם כל זוהמתה, וישראל מגלים שהטהרה היא תנאי לקדושה.
מו	ישרות המידות והתכונות צריכה לחדור לשורשים התחתיים, שבטומאתם מעכירים את העולם, ובעילוים מוסיפים אור בעליונים.
מז	הכבוד והחיבה האידיאליים של ישראל אל הטבע, גדול מהכבוד החיצוני והמוכרח של הגויים, והוא היסוד ליצרם של ישראל.
מח	שורש יצרם של ישראל בקודש, ולכן חיצוניותו מוכרחת להיות גרועה ביותר, כדי לאפשר בחירה, והוא עתיד להתהפך לאור קודש.
מט	העונג והשמחה שבהשגה תלויים בהתאמת הרצון והמוסר של המשיג עם תוכן ההשגה, ושנאת החכמה העליונה נובעת מאי-הכשרת העולם לקבלה.
נ	בפילוסופיה האסכולית, טהרת המידות היא תנאי טכני לבהירות ההשגה, ואילו לפי  התורה היא תנאי מהותי הנובע מהיותן נשמה אחת.
נא	מחשבות התשובה ורצון תיקון העולם הופכים מידת דין לחסד, ואת ענפי החיים שבישראל למשפיעים על שורשם העליון.
נב	מכיוון שמידה טובה מרובה ממידת פורענות, השפעת פגמי האדם על שורשו פחותה מהשפעת זכויותיו עליו.
נג	חוק הנמנע הנו הכלי הראשון, שנתהווה בצמצום הקדמון, ומטרתו לאפשר את גילוי היכולת האין-סופית.
נד	התפילה מעמיקה את פרטי הרצון בשורשם האלוהי, שבכוחו לברוא עולמות, וכך יוצא המבוקש אל הפועל.
נה	הנשמה עלולה לשאת פגמים מגלגול קודם, שאינם ניכרים בזמן המיית הגוף, ובזמן השקטתו הוא הזמן לתקנם.
נו	שלמות השכל והרצון אינה מתגלה בריבוי פרטיהם, אלא באחדותם ובאיחודם זה בזה, ובשלמותם הם משפיעים על כל העולם.
נז	השאיפות השכליות מיישרות את מעשי העתיד, ועוקרות את שורשי הרע שבקלקולי העבר.
נח	מניעת השלמות והצורך בהתהוות, מתפרשת מצד השלמות העליונה כמעלה, ומצד המציאות המתהווה – כצורך התעלות תמידית.
נט	שורש הרע בתשוקת ההשגה הבלתי-מתמלאת, וההבחנה בין חלקי המושג המושגים לאלו הבלתי-מושגים, מבררת את הרע ומגלה את אפסותו.
ס	ההשקפה המפרידה ממלאת את העולם ברשע, וההשקפה המאחדת מביאה את הטוב, וכל תהפוכות העולם מכוונות להוציאה לפועל.
סא	ההשקפה האחדותית מוכרחה להסתתר בתוך ההשקפה המפרידה, כדי לדחוף את התעלות הפרטים ואת התהפכות הרע לטוב.
סב	אוויר ארץ ישראל מאיר את ההשקפה האחדותית, ושל חוץ-לארץ את המפרידה, ולכן עקירת עבודה-זרה והארת התורה תלויים בארץ.
סג	חסרונות העולם וחילוקי מדרגותיו הנראים לעין הכהה, מביאים לדחיפת התעלותו, ולכן ראִיה זו נצרכת בנוסף לראיה הפנימית המאחדת.
סד	כשם שהתארים השלילים נזקקים כדי לזכך את התארים החיוביים, כך הם נזקקים לזיכוך אהבת ה' ולהבחנה בינה ובין אהבה רגילה.
סה	האהבה הטבעית בטהרתה בונה את העולם, וזקוקה היא לאור הקודש, כדי שלא תעמוד במקומה, ושלא יידבקו בה מגרעות.
סו	התורה, והחכמה השואבת ממנה, והמצוות שבין אדם למקום, גדולות מהנבואה והמצוות שבין אדם לחברו, ובאיחודן נבנה העולם.
סז	ערך החיים החברותיים תלוי ביניקתם מהחיים העליונים, ולכן תיקון העולם דורש צופי ישועה עליונה.
סח	סגולת החיים החברתיים בישראל הנה מעין דוגמה של מעלה, כסא להשראת שכינה, וצריכה היא לצאת אל הפועל.
סט	התכנסות והתרכזות האדם, ישראל, הלויים, הכוהנים והחברים, במעלתם העצמית, מכשירה את עילוי השאר.
ע	התפרדות השכלים והעולמות, נותנת מקום לשעשוע של הכללת ההשתלמות (אורם של ישראל) עם השלמות העליונה.
עא	ב"אין-סוף" יש אפשרות ביטוי בדממה דקה, מצד יכולתו לחולל סוף וגבול, אך ב"אין ראשית" אין תפיסה וביטוי אלא דומיה.
עב	הצער שבלימוד ההלכה בא מאי-ההוצאה אל הפועל את החיות הישראלית הספוגה בתלמוד, ונחמתו באה על-ידי הלימוד עצמו.
עג	מקוריות היצירה (גאון יעקב) וכשרון המלאכה (צור ישראל) והשם הנכתב והמבוטא, מתאחדים במקוריותם העליונה.
עד	המחשבה הרזית רואה בכל פעולה קטנה בתחתונים את שורשה בעליונים (כשיקוף הספקטרום את החומר), והקוטן מלמד על הגודל.
עה	שידוד הטבע על-ידי הנס נועד לעקור את הרע ממנו, ובהעמקה חודרת מתגלה שמוגבלות הטוב שבטבע היא עצמה הרע.
עו	אמונת כל עם יוצרת את אופיו, ואמונת ישראל כוללת את כל זיקי ההכרות שבכל האמונות בצורה מעודנת.
עז	בידיעה האלוהית כלולות כל הידיעות, ובעונג האלוהי כל התענוגות, ומאבקם הראשוני ביתר הכשרונות בא לאפשר את הזרחת האור.
עח	ציור הטבע והנס כסותרים גורם לסתירות בערכי האמונה והמוסר, ואילו ראיית אחדותם מביאה שלום במוסר ובאמונה.
עט	כדי להיות מודרך ממחשבות אישיות מקוריות, צריך לטהר את הרצון, וכל עוד אינו מטוהר, יש צורך בהדרכה קבועה ומונחלת.
פ	בחסידות פנימית כלולה הארת האמונה הטבעית של הנשמה, והיא זקוקה לאמונה הבאה במסורת כדי לשמרה משגיאות.
פא	גוף האמונה (טבעיותה) צריך להתאים עם נשמתה (מסורתיותה), ובהתגברו עליה היא מידלדלת, וייחוד זה הוא תוכנן של המצוות.
פב	חוש האמונה הפנימי מתעטר באור הדעה והשכל, ושניהם מתחברים עם רוח הקודש העליונה, ההולכת ומתקשרת באור התורה.
פג	האמונה בטבעיותה היא קנאית ואינה סובלת אמונות אחרות, ומצד הכרתה יש בה חסד וסבלנות, ובמקורה מתחברות שתיהן.
פד	חלקי התורה של הרמב"ן (רזי תורה) והרמב"ם (ההיגיון) הנן מנוגדות זו לזו, אך שתיהן יחד בונות את בית ישראל.
פה	בחוש האמונה מרגישים את צער הנפש על פגמיה ושמחתה על תשובתה, ובעת דקדוק עצמי על מעשיו מתנחמים מהתורה וגדריה.
פו	ישראל, שזוהמתם פסקה בסיני, יצרם הגדול הנו התרגשות חיצונית וחולפת, ואילו הגויים טבועים בזוהמת החטא הקדמון.
פז	הנדר נובע מעומק חוש האמונה הטבעית, והוא עולה על השבועה המיוסדת על אמונת האבות, ולכן מתירים אותו לפני יום הכיפורים.
פח	החסידות הטבעית הישראלית מכניעה את תבערתה מפני הגבולות האלוהיים, אך אצל הגויים אמונה טבעית היא פורצת ומחריבה.
פט	באמת, הדבקות האלוהית אינה זזה משום בריאה, אך עילוי כל המציאות תלוי בהכרתה, הרגשתה, והגלמתה בחיים.
צ	צריך לשמור את צינורות האמונה הפנימית, שלא יתערבו עם צינורות החכמה ואמונת האבות, עד לאיחודם הבָּשֶל בנשמה.
צא	התפילה היא הבעה של האמונה הטבעית, אך צריכה היא את העיבוד והניקיון של התורה.
צב	התפילה והאמונה, בהתנתקן מהתורה, המצוות והמוסר, נפלו לעבודה זרה, נצרות ואסלם, והן עתידות לזרוח בעוצמה כפולה.
צג	שורש התורה ויראת החטא באמונה הטבעית שבישראל, והבינה העליונה מבדילה בינה ובין הטבעיות האמונית החולה שבנצרות.
צד	האמונה הטבעית מזלפת בחשאי טל חיים על הנפש וכוחותיה, ומכשירתה את האדם להיות צדיק וחסיד ואוהב הבריות.
צה	כשהנשמה הטבעית מתגברת ממקורה העליון, היא מבקשת את התגלמותה המעשית במצוות.
צו	אומץ גילוי אליהו אחוז באמונה הטבעית העזיזה, מקור הוודאות וקנאת הדייקנות, המביאה להכרת חשיבות האומה ורווחתה.
צז	האחדות המחשבתית בישראל נותנת לדרגות הנמוכות (יראת העונש) ערך עצמי, מעבר לערכן החינוכי.
צח	בעת רצון מתגלה כוח התפילה בנשמה וסרה הזרות של שינוי הרצון, והיא נעשית שגורה בפה ונובעת כמעיין המתגבר.
צט	מקור האמונה המסתורית ברצון המקיף ומחייה הכל, והאמונה הרציונאלית – בחכמה המבחינה בין המדגרות, ושתיהן מוכרחות.
ק	שורש התפילה שברצון העליון, גבוה משורש התורה שבחכמה, ורק בהתפרטותה היא רק חיי שעה לעומת התורה.
קא	סמיכת גאולה לתפילה גואלת את התפילה ממצריה, ומגבילה את חום הגאולה לפי המידה, והיא מקור שמחת המצוות.
קב	התפילה נובעת מהרצון המתגלה כתוכן כל היש, והאמונה מתחייה מהרצון האלוהי הנסתר (נשמת היש).
קג	כשם שאומץ החיים הבהמיים נחוץ לאדם, ונכלל בו על-ידי אכילת בשר, כך גסות עבודה זרה, אחר זיקוקה, נחוצה לאמונה הטהורה.
קד	אצל ישראל המעשה קודם למחשבה, שכן שורשם הפנימי כבר מתוקן, ואילו אצל הגויים המחשבה קודמת.
קה	כשתאוות האמונה גוברת על עבודת האמונה, היא ממלאת את תאוותה באמונות הרסניות, וזהו יסוד יצרא דעבודה זרה.
קו	מי שכוסף לעליה רוחנית והסתכלות בהירה, אל יניח אותן, אף שאין מידותיו מתוקנות בשלמות.
קז	הבנת המציאות ביחס לאור האלוהי, בתור חכמה, רצון, והתגלות, מאוחדות בשורשן העליון, אך מושגות כדברים שונים.
קח	לאמונה הטבעית, המסורתית, והעצמית, יש תכונות שונות המתאחדות לפעמים, וכשאחת מהן שולטת, האחרות מחליפות כוח.
קט	לפעמים מתגברת החיבה לכל היקום, ולפעמים מתגברת הבחנת ישראל משאר האומות, וגם אז השאיפה היא להשפיע בכך על הכל.
קי	לאמונה עלולים להצטרף דברים שלאחד הם נחוצים ולשני הם מזיקים, ביחידים ובעמים, אמנם האמונה בטהרתה כוללת את הכל.
קיא	אצל הגויים, הלאומיות והאוניברסליות סותרות זו את זו, ובישראל הן מאוחדות בתכונה א-לוהית – לאומיות בפנימיות ואוניברסליות בחיצוניות.
קיב	ישנם השרים שירת עצמם, או האומה, או האדם, או היקום, ויש השרים את כל השירות הללו באגודה אחת.
קיג	האמונה הטבעית העזה, צריכה להישתל ביסוד התורה, להתנקות ולהיטהר על-ידה, ואז כוחה מוכפל.
קיד	התפילות הסותרות העולות מן האנשים השונים, מתקבלות לפי מידת התאמתן אל התום והיושר האלוהי, בהם אין סתירות כלל.
קטו	מגמת ההוויה היא ידיעת ה', ומושגיה מתעמקים עם התעלות ההוויה, ומתוך גודלה היא חודרת בכל, אפילו בטומאה, וזהו רז המיוחד לישראל.
קטז	הפרדת הדבקות והתורה באה מתוך שמץ עבודה זרה, ובאווירא דארץ ישראל מתאחדים התורה, הדבקות ותיקוני החברה.
קיז	הדבקות הדמיונית הסותרת את התורה, המצוות ודרך ארץ, שורשה בעבודה זרה, והיא מתעלה על-ידי הרחבת הדעת ואהבת ישראל.
קיח	התגלות היראה האידיאלית באה מהברקת השלמות האלוהית המנצחת את ההפכים, והיא מולידה את האהבה העליונה (כלות הנפש).
קיט	הקבלה נותנת את הטמפרמנט של אש האמונה, והפילוסופיה כמשחק ילדים לעומתה, אך כדי לקבלה זקוקים לבריאות הגוף והנפש.
קכ	הנצרות, על-ידי ההפרדה שבה, באה לערער את התאמת אמונת הגויים לטבעם, ולהזקיקם לשלמות ישראל המתאמת אמונה וחיים.
קכא	המינות נתקה את האמונה הטבעית משורשה העליון, וזה יסוד כשפיה ושקריה, וכשתבשיל הטבעיות לקבל אור האמונה – תטהר.
קכב	כל חכמה רוחנית צריכה להיבנות תחילה בדוגמתה שבנפש, ומשם להתרחב להכרה העולמית, ולחזור אל הנפש בגדולה.
קכג	בשורש הדין העליון אין כל רע, ורק בירידתו הוא עלול להזיק, ובאיגודו עם אור החסד הם מאזנים זה את זה.
קכד	בניין הרצון שבאדם ובעולם ואיחודו ברצון ה' נעשים על-ידי התפילה, וגם המבוקש עצמו מתעלה על-ידי כך.
קכה	השתרשות אור הרצון הקווי בשורשו העליון, הנעשית בתפילה, ממלאת אותו איתנות, וממלאת את כל המאוויים.
קכו	הכל מודים שתלמידי חכמים צריכים מעט גאווה, והמחלוקת היא האם היא עומדת בפני עצמה או בטלה.
קכז	לפעמים הארת הנשמה מאירה את התורה ואורותיהן נפגשים, ולפעמים התורה מאירה את הנשמה ואורותיהן נפגשים.
קכח	מצד החכמה העולם הזה והבא מאוחדים, ומצד הבינה העולם הזה בטל, וזוהי דרגת יום הכיפורים, והארת חג הסוכות מונעת את ביטולו המוחלט.
קכט	הרע אינו מקרה אלא בריאה א-לוהית מאורגנת, שתפקידה לשכלל את המציאות בכליונהּ מהעולם על-ידי המוסר והאמונה.
קל	ראיית הרע כחטיבה מגמתית עמוקה מראייתו כמקרה, והיאוש המתלווה למקריות עתיד להביא להכרת מגמת הרע כאמצעי לטוב.
קלא	תנועות החסידות, ההשכלה והציונות, הנן מקרים העוברים על היהדות, כדי שתכנן ימלא את חסרונותיה, ואין להעמידן כתוכן נפרד.
קלב	באמונת ישראל הטבעית חקוקים התכנים העל-טבעיים של הקודש, ואילו אמונת הגויים, אפילו בטהרתה, היא רק טבעית.
קלג	הקדושה הטבעית האוניברסלית מופיעה בישראל בחודש תשרי, ועל-ידי מצוות החג היא ננסרת, כדי לגלות את ייחודם של ישראל בשמיני-עצרת.
קלד	ביטול גזירת הקב"ה על-ידי הצדיק, הנה נתינת מקום מצד האיכות העליונה המושלמת, להתפשטות הכמותית המסייעת לה.
קלה	בריאת האדם הנה ירידה אל הכמות התחתונה, כדי להתעלות ממנה לאיכות פנימית עליונה, וקטרוג המלאכים נגדה בא מיסוד הכמותיות.
קלו	חטא הלבנה הנו העדפת הכמות של שני כתרים לשני מלכים, על-פני איכות הכתר האחד העליון.
קלז	קירוב משה את הערב-רב הנה העדפת הכמות (התפשטות החסד) על האיכות, שכן בחסד העליון גנוזים כל אוצרות האור והחושך.
קלח	ישראל והצדיקים הנם מועטים מפני איכותם, המינות העדיפה את הכמות, ולעומתה החסידות בנטייתה אל הכמות, הצילה את ההמון וחטפה מהמינות את שללה.
קלט	אמונת הגויים הטבעית באה מתוך תאוותם, ולכן אינה עומדת בשעת צער, מה שאין כן אמונת ישראל העליונה.
קמ	קליפת האגוז הפנימית, שבצורת שתי וערב, משולה לאמונת הנצרות, העושה מהקודש תאווה גסה, והופכתו לקליפה.
קמא	האמונה והרצון הטבעיים מתגברים על-ידי התפילה, אך סיגי הטבע עלולים להידבק בהם, וצריכים הם לזיקוק התורה והחכמה.
קמב	התרכזות בעולם המעשי לבדו משעבדת את האדם, אך חיבורו עם תמציתו שבעליונים קושרת כתרים לעולם המעשה.
קמג	אושר הנשמות וכל המידות הטובות הם ענפי האהבה האלוהית, הזורחת לפי בהירות האמונה, וזו תחדור בהמון בלא דמיונות, רק בחינוך הדרגתי.
קמד	בתפילה מתעלים הקדושה הטבעית שבנו, שורשינו וענפינו, ואילו על-ידי התורה יורדים ומשתלבים חיים עליונים בעומק טבעיותנו.
קמה	כשם שנסיון ההשגה מעבר ליכולת מביא להפסד השכל, כך צדיקות יתירה עלולה להביא להרס המוסר.
קמו	כנסת ישראל יודעת, שכל התקדמות האומות מאז החורבן היא חיצונית, וגאולת העולם תלויה בבניין ירושלים ובהשבת השכינה.
קמז	החכמה המקורית, והבינה המרחיבה את אורות החכמה, למרות הפער שביניהן, זקוקות הן זו לזו ומהן קיום העולם.
קמח	חכמת הקודש זורחת רק בארץ ישראל, ובחוץ-לארץ ניתן לקלוט רק את הזרחותיה על הבינה, על-ידי הציפייה לארץ.
קמט	המופתים מביאים להכרת המציאות הרוחנית, והנשמה מזקקת את תכנם, ובהכרה עצמה – השלילה מזקקת את החיוב.
קנ	האמונה הטבעית זקוקה לצירוף השכל, ואחר צירופה היא עומדת באיתנה (כשם שאברהם זיקק אמונתו בחקירותיו).
קנא	החיוב הפילוסופי מגביל את היצירה לפי תפיסת החושב, וצריך להכיר בצמצום ההוויה שמצדנו, ובשורשה העליון האינסופי.
קנב	כשהמחשבה מתפתחת, ניכרת אחדות המחשבות, ואז הבינה מכירה איך המחשבות הגסות שומרות את הקדושות כקליפה לפרי.
קנג	היסוד החינוכי של השפעת המעשים על המחשבות, קודם ליסוד הבגרותי של הקדמת המחשבות.
קנד	שיפת איחוד המדע והתורה אינה נשלמת, אלא לכשיוכר המדע כאחת מהארות התורה, וזוהי הרצאתו של הרמב"ם.
קנה	ריבוי המצוות המעשיות אינו מעיד, כטענת המינות, על עוני רוח, אלא הוא הכלי המכיל את שפע החיים הפנימיים של התורה וישראל.
קנו	הכרת המדע באטום כתוצאת התנועה, מראה את הכלליות שבכל פרט, ומאפשרת את אחדות הידיעה והבחירה, האמונה והפילוסופיה, החכמה והבינה.
קנז	בפתחי החכמה שבעולמות הפרטיים יש מקום להשערה וספק, אבל בבינה העליונה הכללית יש רק ודאות.
קנח	הספקנות על הערך המוחלט של הטוב והרע, נובעת מסקירת העתיד החבויה בנשמה, שאר בה כל הרע עולה ליסוד הטוב.
קנט	בעולם הזה צריך להבחין בין הטוב לרע על-ידי המוסר והדת, כדי שבעתיד יתוסף כוח הרע אל הטוב.
קס	שנאת הרשעים נזקקת רק באופי רגש המידות, אך בשורש הדעת מכירים שכל פורענות הרשעים באה מהאהבה העליונה.
קסא	ההתבוננות בעולמות לפי המידה הנפשית, מקרבת אל החזיונות הכלליים ומגדילה את התוכן הנפשי, אך יש להיזהר שלא תצמצמהּ.
קסב	צדיק נסתר הוא צדיק השואף להעלות את עצמו ואת הכל לטוב עליון ובלתי-גבולי, ואינו מסתפק בטוב מדוד ומוגבל.
קסג	יש צדיקים בעלי נסתר, או נגלה, או בעלי שתי התכונות, ויש צדיקים שהנסתר והנגלה נעשים אצלם לדבר אחד ממש.
קסד	יש צדיקים שאינם יכולים לאחוז רק בחכמה, מפני התלהבותם, ועליהם להגבילה עד השלמת ציורם.
קסה	הצדיק באהבתו לבריות נוסך בהם מאופיו ומרוממם, ואהבה זו מתבלטת בתפילתו, שתוכנה הוא שאיבת חסד עליון, והכלי להכלתו הוא בקשות פרטיות.
קסו	חסד אברהם הכמותי, מתעלה לפי איחודו עם חסד אהרון הישראלי האיכותי.
קסז	הדמיון של ארץ ישראל הוא צלול ומסוגל לנבואה, ואילו הדמיון שבחוץ-לארץ הנו עכור, והוא מגביל אף את אור השכל.
קסח	מתוך גדולת המחשבה מוארים פרטי המצווה הרבים, ולכן המוכשר למחשבה כללית אינו רשאי לזונחה.
קסט	יחס ישראל והעמים הוא כיחס הנשמה והגוף, שהיא מרוממת ממנו, ואינו כלב הטבוע באברים.
קע	הקישור המחשבתי בה' הוא האושר היותר גדול והוא מקיף את כל החיים, וזאת היא סגולתם של ישראל המתגלה ביחידיו.
קעא	שאיבת רוח ישראל היא מהקודש העצמי שבחכמה, ולא מהחופש והעדן המתלבשים בציוריו שבבינה, ובזה טעו נדב ואביהוא.
קעב	רק השאיפה אל האידיאליות הכמוסה שמעבר לעולם, מכוננת את העולם, ובעיסוק בתורה לשמה מתברך העולם מזיו העולם הבא.
קעג	כשמידת החסד מתפשטת וגוברת על הדין, מתאחדים ההפכים שבדעות, והרע מתהפך לטוב.
קעד	בתי המקדש שנבנו בידי אדם, היו במידת הדין ולכן הם חרבו, ובלימוד רזי תורה בונים בית מקדש מעשה א-לוה.
קעה	האסטרולוגיה, הגרפולוגיה, וחכמת הפרצוף והתנועה, נובעות ממערכת רוחנית מסודרת, אך בכוחו של האדם לחדש את צורתה.
קעו	החסידות היא כשרון אומנותי לחקות את טוב ה' בכוח הדמיון העדין, המזוקק בשכל, והנבואה הנה אחד מענפיה.
קעז	אומנות כוח המדמה שבציורי החסידות, היא אומנות שכלית טהורה, המתנשאת למקומות גבוהים מהכרת השכל.
קעח	התום הפנימי הוא המבוע העליון שלמעלה מהגדרה, שממנו משתפכים נחלי המוסר והרעיון.
קעט	גלגול הנשמות הוא עיבוד ולטישה של איכויות חדשות בנשמה בתוך גופים שונים, והבנה זו מסירה את טענות המפקפקים בכך.
קפ	בהכרת מרכזיות האדם וקישורו לכל חלקי הבריאה, קיים חופש מחשבתי, המתגלה אחר-כך בהגיון ובמאמרים מדודים.
קפא	טועים הם החושבים להפריד בין דת ישראל ללאומיותו, וטועים גם הנלחמים באותם טועים, באופן הנראה כאילו ניתן באמת לנתקם.
קפב	עולמו הרוחני של האדם צריך להיבנות סביב הפסוק של שמו הפרטי, ומניעת התשובה מרשעים ששכחו את שמם, יוצרת אותם מחדש.
קפג	מידותיו של הקב"ה אינן רחמים ארעיים ומתלהבים כרחמי אנוש, אלא רחמים מלאים משפט וגבורה.
קפד	בעת שהנשמה מבקשת את מנגינותיה – אל תמנע ממנה.
קפה	חיי הנשמה רצים ושבים ומזמרים לה' ללא הרף – כמלאכים, וככל שיכיר בעל הנשמה העליונה בגדולת עצמו, יתמלא זיו ונהרה.
קפו	זיכוך המידות נחוץ, כדי שאהבת ישראל ויתרונם מהעמים לא תיהפך לאהבה עצמית גסה, למרות שבדיעבד, גם זו מוכרעת לטובה.
קפז	הנשמה הפרטית, הלאומית והעולמית,  צועקת ומתאמצת לעלות אל הרום ולהתגלות, ובפרט בעת הגאולה, ואשרי המקשיב לכך.
קפח	יש לאחוז בתשובה עילאה – זיכוך פנימי והרחבת הנשמה, ובתשובה תתאה הדורשת תלמוד ומעשה – בעד העולם.
